OaSIS profile code,Employment requirement
00010.00,"Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required."
00011.00,A university degree or college diploma is usually required.
00011.00,A graduate degree in a related field may be required.
00011.00,Several years of managerial experience in the public or private sector are required.
00012.00,"A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required."
00012.00,"Several years of experience as a middle manager in financial, communications or other business services are usually required."
00012.00,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience.
00012.00,Senior managers in finance usually require a professional accounting or financial designation.
00013.00,"A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required."
00013.00,Several years of experience as a middle manager in a related institution or organization are usually required.
00013.00,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.
00013.00,Senior managers in finance usually require a professional accounting designation.
00014.00,"A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required."
00014.00,"Several years of experience as a middle manager in trade, broadcasting or other service are usually required."
00014.00,Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.
00014.00,Senior managers in finance usually require a professional accounting designation.
00015.00,"A university degree or college diploma in engineering, business administration, commerce or other discipline related to the company's product is usually required."
00015.00,"Several years of experience as a middle manager in goods production, utilities, transportation or construction are usually required."
00015.00,Specialization in a particular functional area or product is possible through specific university or college training in that area or through previous experience.
00015.00,Senior managers in finance usually require a professional accounting designation.
10010.00,"A bachelor's degree in business administration, economics, commerce or a related field is required."
10010.00,"A master's degree in business administration (concentration in finance), or another master's level management program may be required."
10010.00,"Several years of experience in accounting, auditing, budgeting, financial planning and analysis or other financial activities are required."
10010.00,"Accounting and audit managers may require a recognized accounting designation (CPA, CA, CPA, CMA or CPA, CGA)."
10010.00,"Investment, treasury, or corporate finance managers may require a recognized financial designation (CFA, CFP, CIM or others)."
10011.00,"A bachelor's degree in a field related to personnel management, such as business administration, industrial relations, commerce or psychology orcompletion of a professional development program in personnel administration is required."
10011.00,Several years of experience as a personnel officer or human resource specialist are required.
10011.00,Some employers may require human resources managers to hold a Certified Human Resources Professional (CHRP) designation.
10012.00,"A bachelor's degree or college diploma in business administration, commerce or economics is usually required."
10012.00,"Purchasing managers responsible for units purchasing specialized materials or business services may require a related degree or diploma.  For example, a bachelor's degree or college diploma in engineering may be required for purchasing managers responsible for purchasing industrial products."
10012.00,The designation Supply Chain Management Professional (SCMP) or registration in the educational program of the Supply Chain Management Association may be required.
10012.00,Several years of experience as a purchasing agent or officer are required.
10019.00,A bachelor's degree or college diploma in business administration or a related administrative services field is usually required.
10019.00,"Several years of experience at a professional level in business administration, finance or administrative services are usually required."
10019.00,"An Associate of the Institute of the Chartered Secretaries and Administrators (ACIS), Fellow of the Institute of Chartered Secretaries and Administrators (FCIS) or a Professional Administrator (P Adm) designation may be required for some occupations in this group."
10019.00,Certification in health information management by the Canadian Health Information Management Association (CHIMA) may be required.
10019.00,"In Quebec, certification with the Association québécoise des archivistes médicales may be required."
10019.00,Court registrars employed by the higher courts may require judicial credentials.
10020.01,"A university degree or college diploma in business administration, economics or other related field is usually required."
10020.01,Several years of experience within the appropriate industry are usually required.
10020.01,"Licensure appropriate to the service sold, such as real estate, mortgage, securities or insurance, may be required."
10020.01,"In the insurance industry, a recognized professional designation is usually required."
10020.02,"A university degree or college diploma in business administration, economics or other related field is usually required."
10020.02,Several years of experience within the appropriate industry are usually required.
10020.02,"Licensure appropriate to the service sold, such as real estate, mortgage, securities or insurance, may be required."
10020.02,"In the securities and investment industries, a recognized financial designation may be required (CFA, CFP, CIM or others)."
10020.03,"A university degree or college diploma in business administration, economics or other related field is usually required."
10020.03,Several years of experience within the appropriate industry are usually required.
10020.03,"Licensure appropriate to the service sold, such as real estate, mortgage, securities or insurance, may be required."
10020.03,"In the securities and investment industries, a recognized financial designation may be required (CFA, CFP, CIM or others)."
10020.04,"A university degree or college diploma in business administration, economics or other related field is usually required."
10020.04,Several years of experience within the appropriate industry are usually required.
10020.04,"Licensure appropriate to the service sold, such as real estate, mortgage, securities or insurance, may be required."
10020.04,"In the securities and investment industries, a recognized financial designation may be required (CFA, CFP, CIM or others)."
10021.01,"A university degree or college diploma in business administration, commerce, economics or a related field is usually required."
10021.01,"A master's degree in business administration, finance or management science may be required for the management of large commercial loans."
10021.01,"A recognized financial designation may be required (CFA, CFP, CIM or others)."
10021.01,Completion of company or other management training programs is usually required.
10021.01,"Several years of experience within the industry, including supervisory experience, are required."
10021.02,"A university degree or college diploma in business administration, commerce, economics or a related field is usually required."
10021.02,"A master's degree in business administration, finance or management science may be required for the management of large commercial loans."
