Code de profil professionnel SIPeC,Fonctions principales
00010.00,"promulguer, modifier et abroger des lois, des ordonnances et des règlements;"
00010.00,"participer au développement ou à la modification des politiques, des programmes ou des procédures du gouvernement;"
00010.00,"représenter leur gouvernement respectif aux réunions et aux conférences régionales, nationales et internationales;"
00010.00,répondre aux questions d'intérêt de leur corps électoral ou du public en général;
00010.00,"agir, s'il y a lieu, comme responsable de ministères gouvernementaux et diriger les cadres et les officiers supérieurs des administrations publiques dans la mise en application des politiques gouvernementales et la gestion du ministère."
00011.00,"établir les objectifs de l'organisation selon les législations et les politiques du gouvernement en formulant, en approuvant et en évaluant des programmes et des procédures seuls ou conjointement avec des comités supérieurs de l'administration publique;"
00011.00,donner aux élus des avis sur les questions relatives aux politiques et leur soumettre les questions d'importance capitale afin d'en arriver à une décision finale;
00011.00,"recommander, examiner, évaluer et approuver les documents, les mémoires et les rapports soumis par les cadres intermédiaires et les membres du personnel supérieur;"
00011.00,coordonner les activités ministérielles avec d'autres hauts fonctionnaires et cadres supérieurs;
00011.00,"présenter des exposés aux comités législatifs et aux autres comités gouvernementaux au sujet des politiques, des programmes ou des budgets;"
00011.00,allouer les ressources humaines et financières nécessaires à la mise en oeuvre des politiques et des programmes de l'organisation;
00011.00,établir les contrôles administratifs et financiers.
00012.00,"définir la mission et les orientations stratégiques de l'entreprise, notamment en formulant ses politiques ainsi que des objectifs concrets qu'ils atteignent ensuite en veillant à une gestion judicieuse des ressources humaines, financières et matérielles;"
00012.00,autoriser et organiser la mise sur pied des principaux services de l'organisation et la création des postes de niveau supérieur qui s'y rattachent;
00012.00,"allouer les ressources matérielles, humaines et financières nécessaires à la mise en oeuvre des politiques et des programmes de l'organisation, établir les contrôles administratifs et financiers, formuler et approuver les campagnes de promotion et approuver le plan d'ensemble de la gestion des ressources humaines;"
00012.00,"sélectionner des cadres intermédiaires, des directeurs et d'autre personnel de direction, leur déléguer l'autorité nécessaire et créer des conditions de travail optimales;"
00012.00,"représenter l'organisation, ou déléguer des représentants pour agir au nom de l'organisation, lors de négociations ou d'autres fonctions officielles."
00013.00,établir les objectifs de l'organisation ou de l'établissement en formulant ou en approuvant ses politiques et ses programmes;
00013.00,autoriser et organiser l'établissement des principaux services de l'organisation et la création des postes de niveau supérieur qui s'y rattachent;
00013.00,"allouer les ressources matérielles, humaines et financières nécessaires à la mise en oeuvre des politiques et des programmes de l'organisation, établir les contrôles administratifs et financiers, formuler et approuver les campagnes de promotion et approuver le plan d'ensemble de la gestion des ressources humaines;"
00013.00,"sélectionner les cadres intermédiaires, les directeurs et autre personnel de direction;"
00013.00,"coordonner le travail des régions, des divisions ou des services;"
