OaSIS profile code,Workplace/employer name,Profile name
00010.00,Band councils,Legislators
00010.00,Executive councils,Legislators
00010.00,Federal government,Legislators
00010.00,Local governments,Legislators
00010.00,Provincial government,Legislators
00010.00,School boards,Legislators
00010.00,Territorial governments,Legislators
00011.00,Agencies,Senior government managers and officials
00011.00,Boards,Senior government managers and officials
00011.00,Commissions,Senior government managers and officials
00011.00,Federal government departments,Senior government managers and officials
00011.00,Municipal governments,Senior government managers and officials
00011.00,Provincial government,Senior government managers and officials
00011.00,Regional governments,Senior government managers and officials
00011.00,Territorial governments,Senior government managers and officials
00012.00,Business service industries,"Senior managers - financial, communications and other business services"
00012.00,"Establishments throughout the telecommunications, finance, insurance, real estate, data processing, hosting and related services industries","Senior managers - financial, communications and other business services"
00012.00,Self-employed,"Senior managers - financial, communications and other business services"
00013.00,Membership organizations,"Senior managers - health, education, social and community services and membership organizations"
00013.00,"Organizations that deliver health, education, social or community services","Senior managers - health, education, social and community services and membership organizations"
00013.00,Self-employed,"Senior managers - health, education, social and community services and membership organizations"
00014.00,Accommodation and food services,"Senior managers - trade, broadcasting and other services"
00014.00,Establishments in broadcasting and related media services,"Senior managers - trade, broadcasting and other services"
00014.00,Other services companies,"Senior managers - trade, broadcasting and other services"
00014.00,Retail trade,"Senior managers - trade, broadcasting and other services"
00014.00,Self-employed,"Senior managers - trade, broadcasting and other services"
00014.00,Wholesale trade,"Senior managers - trade, broadcasting and other services"
00015.00,Construction,"Senior managers - construction, transportation, production and utilities"
00015.00,"Forestry, logging, fishing and agriculture","Senior managers - construction, transportation, production and utilities"
00015.00,Manufacturing companies,"Senior managers - construction, transportation, production and utilities"
00015.00,"Mining, oil and gas extraction","Senior managers - construction, transportation, production and utilities"
00015.00,Printing,"Senior managers - construction, transportation, production and utilities"
00015.00,Public utility services,"Senior managers - construction, transportation, production and utilities"
00015.00,Self-employed,"Senior managers - construction, transportation, production and utilities"
00015.00,Transportation and warehousing,"Senior managers - construction, transportation, production and utilities"
10010.00,Financial and accounting departments in companies throughout the private sector,Financial managers
10010.00,Financial and accounting units throughout the public sector,Financial managers
10011.00,Establishements throughout the private and public sector,Human resources managers
10012.00,Establishements throughout the private and public sector,Purchasing managers
10019.00,Establishements throughout the private and public sector,Other administrative services managers
10020.01,Insurance companies,Insurance managers
10020.02,Real estate firms,Real estate service managers
10020.03,Mortgage brokers,Mortgage broker managers
10020.04,Investment dealers,Securities manager
10020.04,Security and commodity exchanges,Securities manager
10020.04,Stockbrokers,Securities manager
10021.01,Banks,Banking and other investment managers
10021.01,Consumer loan companies,Banking and other investment managers
10021.01,Credit card companies,Banking and other investment managers
10021.01,Credit unions,Banking and other investment managers
10021.01,Mortgage investment companies,Banking and other investment managers
10021.01,Mutual fund investment firms,Banking and other investment managers
10021.01,Other financial establishments concerned with extending loans and financing and investments,Banking and other investment managers
10021.01,Trust companies,Banking and other investment managers
10021.02,Car dealerships,Credit managers
10021.02,Commercial or industrial organizations,Credit managers
10021.02,Department stores,Credit managers
10021.02,Insurance companies,Credit managers
10021.02,Utilities companies,Credit managers
10022.01,"Advertising, marketing and public relations firms",Advertising managers
10022.01,Commercial and industrial establishments,Advertising managers
10022.01,Consulting businesses,Advertising managers
10022.01,Government departments,Advertising managers
10022.02,"Advertising, marketing and public relations firms",Marketing managers
10022.02,Commercial and industrial establishments,Marketing managers
10022.02,Consulting businesses,Marketing managers
10022.02,Government departments,Marketing managers
10022.03,"Advertising, marketing and public relations firms",Public relation managers
10022.03,Commercial and industrial establishments,Public relation managers
10022.03,Consulting firms,Public relation managers
10022.03,Government departments,Public relation managers
10022.04,"Advertising, marketing and public relations firms",E-business managers
10022.04,Commercial and industrial establishments,E-business managers
10022.04,Consulting businesses,E-business managers
10022.04,Government departments,E-business managers
10029.00,Contact centre services,Other business services managers
10029.00,Management consulting firms,Other business services managers
10029.00,Market research,Other business services managers
10029.00,Payroll services,Other business services managers
10029.00,Security services,Other business services managers
10030.00,"Wired, wireless, satellite and other telecommunication carriers",Telecommunication carriers managers
11100.01,Private sector accounting and auditing firms/departments,Financial auditors
11100.01,Public sector accounting and auditing departments/units,Financial auditors
11100.01,Self-employed,Financial auditors
11100.02,Private sector accounting and auditing firms/departments,Accountants
11100.02,Public sector accounting and auditing departments/units,Accountants
11100.02,Self-employed,Accountants
11101.01,Banks,Financial analysts
11101.01,Brokerage houses,Financial analysts
11101.01,Establishements throughout the private and public sector,Financial analysts
11101.01,Insurance companies,Financial analysts
11101.01,Investment companies,Financial analysts
11101.01,Manufacturing firms,Financial analysts
11101.01,Trust companies,Financial analysts
11101.01,Underwriting firms,Financial analysts
11101.01,Utility companies,Financial analysts
11101.02,Brokerage houses,Investment analysts
11101.02,Fund management companies,Investment analysts
11102.00,Banks,Financial advisors
11102.00,Governments,Financial advisors
11102.00,Investment firms,Financial advisors
11102.00,Self-employed,Financial advisors
11102.00,Trust companies,Financial advisors
11103.01,Financial securities industry,Securities agents and investment dealers
11103.01,Investment companies,Securities agents and investment dealers
11103.01,Stock and commodity exchanges,Securities agents and investment dealers
11103.01,Stock brokerage firms,Securities agents and investment dealers
11103.02,Financial securities industry,Brokers
11103.02,Investment companies,Brokers
11103.02,Stock and commodity exchanges,Brokers
11103.02,Stock brokerage firms,Brokers
11109.01,Banks,Financial examiners and inspectors
11109.01,Governments,Financial examiners and inspectors
11109.01,Investment firms,Financial examiners and inspectors
11109.01,Self-employed,Financial examiners and inspectors
11109.01,Trust companies,Financial examiners and inspectors
11109.02,Banks,Financial investigators
11109.02,Governments,Financial investigators
11109.02,Investment firms,Financial investigators
11109.02,Self-employed,Financial investigators
11109.02,Trust companies,Financial investigators
11109.03,Banks,Financial Underwriters
11109.03,Governments,Financial Underwriters
11109.03,Investment firms,Financial Underwriters
11109.03,Self-employed,Financial Underwriters
11109.03,Trust companies,Financial Underwriters
11109.04,Banks,Trust officers
11109.04,Governments,Trust officers
11109.04,Investment firms,Trust officers
11109.04,Self-employment,Trust officers
11109.04,Trust companies,Trust officers
11109.05,Banks,Mortgage brokers
11109.05,Governments,Mortgage brokers
11109.05,Investment firms,Mortgage brokers
11109.05,Self-employed,Mortgage brokers
11109.05,Trust companies,Mortgage brokers
11200.00,Establishements throughout the private and public sector,Human resources professionals
11200.00,Self-employed,Human resources professionals
11201.00,Establishements throughout the private and public sector,Professional occupations in business management consulting
11201.00,Management consulting firms,Professional occupations in business management consulting
11201.00,Self-employed,Professional occupations in business management consulting
11202.00,Advertising agencies,"Professional occupations in marketing, advertising and public relations"
11202.00,Associations,"Professional occupations in marketing, advertising and public relations"
11202.00,Consulting firms,"Professional occupations in marketing, advertising and public relations"
11202.00,Corporations,"Professional occupations in marketing, advertising and public relations"
11202.00,Cultural organizations,"Professional occupations in marketing, advertising and public relations"
11202.00,Galleries,"Professional occupations in marketing, advertising and public relations"
11202.00,Governments,"Professional occupations in marketing, advertising and public relations"
11202.00,Museums,"Professional occupations in marketing, advertising and public relations"
11202.00,Public interest groups,"Professional occupations in marketing, advertising and public relations"
11202.00,Self-employed,"Professional occupations in marketing, advertising and public relations"
11202.00,Social agencies,"Professional occupations in marketing, advertising and public relations"
12010.00,Establishements throughout the private and public sector,"Supervisors, general office and administrative support workers"
12011.00,Banks,"Supervisors, finance and insurance office workers"
12011.00,Establishements throughout the private and public sector,"Supervisors, finance and insurance office workers"
12011.00,Insurance companies,"Supervisors, finance and insurance office workers"
