Code,Nom,Type de Structure,Categorie,Description
A,Habiletés,Catégorie,Habiletés,Aptitudes innées et développées facilitant l’acquisition de connaissances et de compétences requises pour effectuer le travail attendu.
A01,Habiletés cognitives,Sous-Categorie,Habiletés,Habiletés ayant une incidence sur l’acquisition et l’application de connaissances dans l’exécution de diverses activités mentales au travail.
A01a,Habiletés à générer des idées et à raisonner,Groupe de similitudes,Habiletés,
A01a01,Ordonner de l’information,Descripteur,Habiletés,"L’habileté de disposer des éléments ou des actions dans un certain ordre ou un modèle, conformément à une règle spécifique ou à un ensemble de règles (p. ex., séquences de chiffres, de lettres, de mots, d’images, d’opérations mathématiques)."
A01a02,Souplesse dans la catégorisation,Descripteur,Habiletés,L’habileté de générer ou d'utiliser un ensemble de règles pour combiner ou regrouper des choses de différentes façons.
A01a03,Raisonnement déductif,Descripteur,Habiletés,L’habileté d’appliquer des règles générales pour formuler des réponses logiques à des problèmes spécifiques. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01a04,Raisonnement inductif,Descripteur,Habiletés,"L’habileté de combiner des éléments d’information pour former des règles générales ou des conclusions, ce qui comprend de trouver une relation entre des événements apparemment sans liens. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01a05,Facilité à concevoir des idées,Descripteur,Habiletés,L’habileté d'imaginer plusieurs idées sur un même sujet. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01a06,Détection de problèmes,Descripteur,Habiletés,"L’habileté d'identifier un problème existant ou potentiel. Il ne s'agit pas de résoudre le problème, mais seulement d’en reconnaître la présence. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01b,Habiletés quantitatives,Groupe de similitudes,Habiletés,
A01b01,Habileté numériques,Descripteur,Habiletés,"L’habileté d’effectuer avec précision des opérations arithmétiques, telles que des additions, soustractions, multiplications ou divisions. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01b02,Raisonnement mathématique,Descripteur,Habiletés,L’habileté de choisir les bonnes méthodes ou formules mathématiques pour résoudre un problème. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01c,Habiletés de mémoire,Groupe de similitudes,Habiletés,
A01c01,Mémorisation,Descripteur,Habiletés,"L’habileté de se souvenir d’informations tels que des mots, des chiffres, des images ou des procédures. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01c02,Tâches multiples,Descripteur,Habiletés,"L’habileté d’alterner, durant une même période de temps, entre deux ou plusieurs activités ou sources d’information (comme un discours, des sons, le contact ou d’autres sources). Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01c03,Identification de motifs,Descripteur,Habiletés,"L'habileté d'identifier, de repérer ou de détecter un motif connu, tel qu'une figure, un objet, un mot ou un son, qui est dissimulé parmi d'autres informations ou matériaux. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01c04,Vitesse d’organisation de motifs,Descripteur,Habiletés,L’habileté de combiner et d'organiser rapidement de l’information pour obtenir des structures ou modèles significatifs. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01c05,Vitesse de perception,Descripteur,Habiletés,"L’habileté de comparer avec rapidité et précision les similitudes et les différences entre des ensembles de lettres, chiffres, objets, images ou modèles. Les éléments à comparer peuvent être présentés en même temps, l'un après l'autre, ou à partir d'un objet mémorisé. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01d,Habiletés spatiales,Groupe de similitudes,Habiletés,
A01d01,Orientation spatiale,Descripteur,Habiletés,L’habileté de connaître son emplacement dans l’environnement ou de savoir où se trouve des objets par rapport à soi. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01d02,Visualisation spatiale,Descripteur,Habiletés,"L’habileté de visualiser des formes géométriques, de comprendre la représentation bidimensionnelle d’objets en trois dimensions et de reconnaître les relations résultant du mouvement des objets dans l’espace. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01e,Habiletés de communication,Groupe de similitudes,Habiletés,
A01e01,Habileté verbale,Descripteur,Habiletés,"L'habileté de comprendre le sens et l'usage précis des mots, les idées qui leurs sont associées ainsi que leurs relations et de les utiliser dans le contexte approprié afin de présenter verbalement des informations ou idées clairement. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01e02,Compréhension écrite,Descripteur,Habiletés,L’habileté de lire et de comprendre de l’information et les idées présentées par écrit. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01e03,Expression écrite,Descripteur,Habiletés,"L’habileté de communiquer des informations et des idées par écrit, en adaptant le style d'écriture à l’auditoire afin qu’il puisse comprendre. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01f,Autres habiletés cognitives,Groupe de similitudes,Habiletés,
A01f01,Attention sélective,Descripteur,Habiletés,L’habileté de se concentrer sur une tâche pendant un certain temps sans se laisser distraire. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A01f02,Perception des formes,Descripteur,Habiletés,"L’habileté de percevoir des détails pertinents, d'établir des comparaisons visuelles et de distinguer de légères différences dans les formes et les nuances des figures ainsi que dans la largeur et la longueur des lignes sur les objets et le matériel graphique. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A01f03,Habileté générale à apprendre,Descripteur,Habiletés,L’habileté de saisir et de comprendre des instructions et des principes sous-jacents permettant de raisonner et d’apporter des jugements. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5.
A02,Habiletés physiques,Sous-Categorie,Habiletés,"Habiletés à effectuer des activités physiques nécessitant de la force, de l’endurance, de la souplesse, de l’équilibre ou de la coordination."
A02a,Habiletés de force physique,Groupe de similitudes,Habiletés,
A02a01,Force du torse,Descripteur,Habiletés,"L’habileté d’exercer les muscles abdominaux et lombaires pour soutenir une partie du corps de façon répétée ou continue dans le temps, sans céder ni se fatiguer. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
A02a02,Force statique,Descripteur,Habiletés,"L’habileté d’exercer une force musculaire pour soulever, pousser, tirer, transporter ou transférer des objets. Ce descripteur est mesuré par niveau de compétence sur une échelle de 1 à 5."
