OaSIS profile code,Label
00010.00,Legislators
00011.00,Senior government managers and officials
00012.00,"Senior managers - financial, communications and other business services"
00013.00,"Senior managers - health, education, social and community services and membership organizations"
00014.00,"Senior managers - trade, broadcasting and other services"
00015.00,"Senior managers - construction, transportation, production and utilities"
10010.00,Financial managers
10011.00,Human resources managers
10012.00,Purchasing managers
10019.00,Other administrative services managers
10020.01,Insurance managers
10020.02,Real estate service managers
10020.03,Mortgage broker managers
10020.04,Securities manager
10021.01,Banking and other investment managers
10021.02,Credit managers
10022.01,Advertising managers
10022.02,Marketing managers
10022.03,Public relation managers
10022.04,E-business managers
10029.00,Other business services managers
10030.00,Telecommunication carriers managers
11100.01,Financial auditors
11100.02,Accountants
11101.01,Financial analysts
11101.02,Investment analysts
11102.00,Financial advisors
11103.01,Securities agents and investment dealers
11103.02,Brokers
11109.01,Financial examiners and inspectors
11109.02,Financial investigators
11109.03,Financial Underwriters
11109.04,Trust officers
11109.05,Mortgage brokers
11200.00,Human resources professionals
11201.00,Professional occupations in business management consulting
11202.00,"Professional occupations in marketing, advertising and public relations"
12010.00,"Supervisors, general office and administrative support workers"
12011.00,"Supervisors, finance and insurance office workers"
12012.00,"Supervisors, library, correspondence and related information workers"
12013.00,"Supervisors, supply chain, tracking and scheduling coordination occupations"
12100.00,Executive assistants
12101.00,Human resources and recruitment officers
12102.00,Procurement and purchasing agents and officers
12103.00,Conference and event planners
12104.01,Excise tax revenue officers
12104.02,Government benefits services officers
12110.01,Court reporters
12110.02,Medical transcriptionists
12111.00,Health information management occupations
12112.00,Records management technicians
12113.00,Statistical officers and related research support occupations
12200.00,Accounting technicians and bookkeepers
12201.01,Insurance adjusters
12201.02,Insurance claims examiners
12202.00,Insurance underwriters
12203.01,Assessors
12203.02,Business valuators
12203.03,Appraisers
13100.00,Administrative officers
13101.00,Property administrators
13102.00,Payroll administrators
13110.00,Administrative assistants
13111.00,Legal administrative assistants
13112.00,Medical administrative assistants
13200.01,Custom brokers
13200.02,Ship brokers
13201.01,Production logistics coordinators
13201.02,Transportation logistics coordinators
14100.01,General office support workers
14100.02,File clerks
14101.01,Receptionists
14101.02,Hospital admitting clerks
14101.03,Switchboard and answering service operators
14101.04,Telephone operators
14102.00,Personnel clerks
14103.00,Court clerks and related court services occupations
14110.01,Survey interviewers
14110.02,Statistical clerks
14111.00,Data entry clerks
14112.01,Desktop publishing operators
14112.02,Typesetting input and output operators
14200.00,Accounting and related clerks
14201.01,Bank clerks
14201.02,Insurance clerks
14201.03,Other financial clerks
14202.00,Collection clerks
14300.00,Library assistants and clerks
14301.01,Classified advertising clerks
14301.02,Correspondence clerks
14301.03,Proofreaders and editorial assistants
14301.04,Readers and press clippers
14301.05,Regulatory clerks
14400.00,Shippers and receivers
14401.00,Storekeepers and partspersons
14402.00,Production logistics workers
