Code de profil professionnel SIPeC,Enonce principal
00010.00,"Les membres des corps législatifs participent aux activités d'un corps législatif ou d'un conseil exécutif du gouvernement fédéral, provincial, territorial ou local, d'un conseil de bande ou d'un conseil scolaire, à titre d'élus ou de représentants nommés."
00011.00,"Les cadres supérieurs de l'administration publique planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les activités des administrations régionales ou municipales ainsi que les activités des ministères, des conseils, des agences ou des commissions des administrations fédérales, provinciales et territoriales. Ils établissent la direction à suivre selon les législations et les politiques formulées par les représentants élus ou les membres des corps législatifs."
00012.00,"Les cadres supérieurs des secteurs des services financiers, des communications et des services aux entreprises sont mandatés généralement par un conseil d'administration dont ils relèvent. Ils définissent, seuls ou conjointement avec le conseil d'administration, les objectifs de l'entreprise et élaborent ou approuvent ses politiques et ses programmes. Ils planifient, organisent, dirigent, contrôlent et évaluent, par l'intermédiaire des cadres intermédiaires, les activités de l'organisme en fonction des objectifs établis."
00013.00,"Les cadres supérieurs en santé, enseignement, services sociaux et communautaires et associations mutuelles planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les organisations, les associations mutuelles ou autres établissements qui offrent des services sociaux, communautaires, de santé ou d'enseignement. Ils formulent, seuls ou conjointement avec un conseil d'administration, les politiques d'orientation de ces organisations."
00014.00,"Les cadres supérieurs de commerce, radiotélédiffusion et autres services à la clientèle planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les compagnies des secteurs du commerce, de la radiotélédiffusion et d'autres industries des services. Ils formulent les politiques qui établissent la direction à suivre par ces compagnies, seuls ou conjointement avec un conseil d'administration."
00015.00,"Les cadres supérieurs en construction, transport, production et services d'utilité publique planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, l'ensemble des opérations des compagnies des secteurs de la production des biens, des services d'utilité publique, du transport et de la construction. Ils formulent, seuls ou conjointement avec un conseil d'administration, les politiques d'orientation de ces compagnies."
10010.00,"Les directeurs financiers planifient, organisent, dirigent, contrôlent et évaluent les opérations de services financiers et de comptabilité. Ils élaborent et mettent en oeuvre les procédures et les systèmes financiers d'un établissement. Ils fixent les normes de rendement et préparent divers rapports financiers pour la haute direction."
10011.00,"Les directeurs des ressources humaines planifient, organisent, dirigent, contrôlent et évaluent les activités d'un service des ressources humaines et du personnel. En outre, ils élaborent des politiques et mettent en oeuvre des programmes et des procédures en matière de planification des ressources humaines, de recrutement, de négociation des conventions collectives, de formation et de perfectionnement, de classification de postes et d'administration de la rémunération et des avantages sociaux. Ils représentent la direction et participent activement aux réunions des différents comités paritaires afin de veiller à gérer de façon continue les relations entre la direction et les employés."
10012.00,"Les directeurs des achats planifient, organisent, dirigent, contrôlent et évaluent les activités d'un service des achats et élaborent et mettent en oeuvre les politiques d'achat d'une entreprise ou d'un établissement."
10019.00,"Les directeurs d'autres services administratifs planifient, organisent, dirigent, contrôlent et évaluent les services d'une organisation qui sont responsables de l'exécution des politiques internes et de la conformité aux règlements, de la gestion des dossiers, des services de sécurité, des admissions et autres services administratifs. Ce groupe de base comprend aussi les directeurs responsables des services impliqués dans deux ou plus des activités suivantes : finances, ressources humaines, achats ou services administratifs."
