Code de profil SIPeC,Codes exclus,Appellation d'emploi
00010.00,00011.00,commissaire - services gouvernementaux
00010.00,00013.00,"chef de direction - santé, enseignement, services communautaires et sociaux et associations mutuelles"
10010.00,10029.00,directeur/directrice de cabinet d'expertise comptable
10010.00,10029.00,directeur/directrice de cabinet de vérificateurs
10012.00,70012.01,directeur/directrice de l'entreposage
10021.02,10020.03,
10030.00,50011.00,directeur/directrice de la diffusion
11101.01,11102.00,planificateur financier/planificatrice financière
11101.01,41401.00,économiste
11101.01,41402.00,agent/agente de développement économique - gouvernement
11101.02,11102.00,planificateur financier/planificatrice financière
11101.02,41401.00,économiste
11101.02,41402.00,agent/agente de développement économique
11109.01,41401.00,économiste
11109.01,41402.00,agent/agente de développement économique
11109.02,41401.00,économiste
11109.02,41402.00,agent/agente de développement économique
11109.03,41401.00,économiste
11109.03,41402.00,agent/agente de développement économique
11109.04,41401.00,économiste
11109.04,41402.00,agent/agente de développement économique
11109.05,41401.00,économiste
11109.05,41402.00,agent/agente de développement économique
11200.00,41210.00,agent/agente de formation - compagnie
11202.00,10022.03,
12010.00,13100.00,gestionnaire de bureau
12100.00,13110.00,secrétaire exécutif/secrétaire exécutive (sauf domaines juridique et médical)
13112.00,12110.02,
14103.00,13111.00,adjoint administratif/adjointe administrative - domaine judiciaire
14103.00,13111.00,assistant judiciaire/assistante judiciaire
14103.00,42200.01,auxiliaire juridique
14110.01,65109.03,
14112.01,12010.00,superviseur/superviseure d'opérateurs d'équipement d'éditique
14112.01,52111.00,préparateur/préparatrice de copies en arts graphiques
14112.01,52111.00,metteur en page-encolleur/metteuse en page-encolleuse
14112.01,14301.03,
14202.00,12011.00,superviseur/superviseure du recouvrement
14202.00,12104.01,agent/agente de perception des impôts
14300.00,52100.01,
14401.00,12013.00,superviseur/superviseure de commis aux pièces
14403.02,12013.00,superviseur/superviseure de commis aux stocks
14404.00,12013.00,superviseur/superviseure de répartiteurs
14405.00,12013.00,superviseur/superviseure d'horairistes de trajets
14405.00,12013.00,superviseur/superviseure de préposés à l'affectation des équipages
14405.00,13201.01,contrôleur/contrôleuse de la production
21100.01,21102.01,géophysicien/géophysicienne
21100.01,21102.02,spécialiste en océanographie physique
21101.00,21102.01,géochimiste
21101.00,21109.01,métallurgiste
21101.00,21109.02,scientifique des matériaux
21101.00,21110.02,biologiste moléculaire
21103.00,52114.00,reporteur/reportrice météo
21111.00,41401.00,économiste forestier/économiste forestière
21112.00,21399.01,ingénieur agricole/ingénieure agricole
21112.00,22110.02,technicien/technicienne en agrologie
21120.00,41400.02,hygiéniste du travail
21120.00,41400.01,
21200.00,21231.00,architecte organique en logiciels
21200.00,21300.00,ingénieur/ingénieure de structures
21200.00,21311.01,architecte de matériel technique
21200.00,21399.04,architecte naval/architecte navale
21200.00,21223.01,
21203.00,21300.00,ingénieur/ingénieure en géomatique
21203.00,21300.00,ingénieur arpenteur/ingénieure arpenteuse
21230.00,10022.04,
21231.00,21311.01,ingénieur informaticien/ingénieure informaticienne
21232.00,10022.04,
21233.00,10022.04,
21234.00,21311.02,concepteur/conceptrice de systèmes de réseaux
21300.00,21320.00,ingénieur chimiste/ingénieure chimiste en environnement
21301.00,92100.02,
21320.00,21399.01,ingénieur agricole/ingénieure agricole
21320.00,21399.02,ingénieur biomédical/ingénieure biomédicale
21321.00,11201.00,analyste en organisation
21390.00,22313.03,mécanicien/mécanicienne d'entretien d'aéronef (MEA) - avionique
21390.00,72404.01,technicien/technicienne d'entretien d'aéronefs (TEA) (sauf avionique)
21399.04,72603.00,officier mécanicien/officière mécanicienne de marine - transport par voies navigables
22100.01,32120.00,technologiste en biochimie de laboratoire médical
22100.02,32120.00,technologiste en biochimie de laboratoire médical
22110.01,22310.01,technologue en génie biomédical
22211.00,22212.01,technologue en conception et en dessin - génie civil
22211.00,22300.01,technologue concepteur/technologue conceptrice en génie civil
22211.00,22301.01,concepteur/conceptrice d'équipement de génie mécanique
22211.00,22310.01,technologue concepteur/technologue conceptrice en électricité et en électronique
22212.01,22300.01,technologue concepteur/technologue conceptrice en génie civil
22212.01,22301.01,technologue concepteur/technologue conceptrice en génie mécanique
22212.01,22310.01,technologue concepteur/technologue conceptrice en génie électronique
22212.01,22310.01,technologue concepteur/technologue conceptrice en génie électrique
22214.01,22300.02,technicien/technicienne en utilisation des terres
22214.01,22300.02,technicien/technicienne en aménagement urbain
22214.03,22300.02,technicien/technicienne en utilisation des terres
22214.04,22300.02,technicien/technicienne en utilisation des terres
22231.01,11201.00,agent/agente des affaires réglementaires
22231.01,11201.00,agent/agente de la conformité réglementaire
22231.02,11201.00,agent/agente de la conformité réglementaire
22231.02,11201.00,agent/agente des affaires réglementaires
22231.03,11201.00,agent/agente de la conformité réglementaire
22231.03,11201.00,agent/agente des affaires réglementaires
22231.04,11201.00,agent/agente de la conformité réglementaire
22231.04,11201.00,agent/agente des affaires réglementaires
22231.05,11201.00,agent/agente de la conformité réglementaire
22231.05,11201.00,agent/agente des affaires réglementaires
22232.00,41400.02,hygiéniste du travail
22232.00,41400.01,
22312.00,22313.01,technicien/technicienne d'instruments d'aéronef
31101.01,31110.02,
31101.05,31110.02,
31111.00,31101.03,
31111.00,31303.04,
31111.00,32129.02,
31111.00,33109.04,
31111.00,33109.05,
31112.01,32109.01,audioprothésiste
31112.02,32109.02,aide-orthophoniste
31121.00,32129.01,
31121.00,32209.06,
31121.00,41403.02,
31200.00,31100.04,
31200.00,41409.07,
31201.00,33109.03,aide en chiropraxie
31202.00,32109.04,thérapeute en réadaptation physique
31202.00,32109.05,assistant/assistante en physiothérapie
31204.02,32109.04,
31209.01,31303.04,
31209.04,31303.04,
31209.04,32209.02,
31301.01,32101.01,infirmier auxiliaire autorisé/infirmière auxiliaire autorisée
31301.03,32101.01,infirmier auxiliaire autorisé/infirmière auxiliaire autorisée
31301.04,32101.01,infirmier auxiliaire autorisé/infirmière auxiliaire autorisée
31301.05,32101.01,infirmier auxiliaire autorisé/infirmière auxiliaire autorisée
31301.06,32101.01,infirmier auxiliaire autorisé/infirmière auxiliaire autorisée
32100.00,31101.03,
32100.00,32129.02,
32102.00,33102.00,auxiliaire médical/auxiliaire médicale en soins d'urgence
32102.00,33102.00,répondant médical d'urgence/répondante médicale d'urgence (non paramédical)
32102.00,33102.00,assistant technicien/assistante technicienne en soins médicaux d'urgence (non paramédical)
32123.02,32103.03,
32200.01,31209.03,
32200.01,31209.04,
32200.01,31303.02,
32200.02,31209.03,
32200.02,31209.04,
32200.02,31303.02,
32209.01,31209.03,
32209.01,31303.02,
32209.02,31209.04,
32209.03,31209.03,
32209.05,31209.03,
32209.06,31209.03,
33109.02,32101.02,
33109.04,32101.02,
33109.06,31303.05,
33109.06,32101.02,
33109.07,31303.05,
33109.08,31303.05,
33109.08,32101.02,
41100.00,42200.05,juge de paix
41100.00,42200.05,juge de la citoyenneté
41101.00,41400.03,agent/agente de brevets
41101.00,42200.03,notaire public/notaire publique (à l'extérieur du Québec)
41101.00,42200.04,
41220.00,41301.00,psychoéducateur/psychoéducatrice
41220.00,52100.01,bibliothécaire d'école secondaire
41221.00,41301.00,psychoéducateur/psychoéducatrice
41221.00,42203.00,éducateur spécialisé/éducatrice spécialisée pour personnes ayant une déficience développementale
41221.00,52100.01,bibliothécaire d'école élémentaire
41310.01,64410.04,détective privé/détective privée
41320.00,31200.00,psychologue scolaire
41321.00,12104.02,agent/agente d'assurance-emploi
41321.00,42203.00,formateur/formatrice en milieu de travail pour personnes ayant une déficience
41401.00,41403.01,analyste des politiques du travail
41402.00,41403.05,
41407.00,42200.05,
41409.02,41221.00,
42100.00,64410.04,détective privé/détective privée
42101.00,32102.00,ambulancier paramédical/ambulancière paramédicale
42200.04,41400.03,
42201.00,54100.01,animateur/animatrice d'activités en gériatrie
42203.00,31112.02,thérapeute en audiologie et en orthophonie
42203.00,31203.00,ergothérapeute - conseiller/conseillère en réadaptation
42204.00,31102.00,médecin missionnaire
44100.01,44101.00,aide familial résident/aide familiale résidente - personnes âgées
44100.01,44101.00,aide familial résident/aide familiale résidente - personnes handicapées
44100.02,44101.00,aide familial résident/aide familiale résidente - personnes handicapées
51100.00,51101.02,conservateur/conservatrice de bibliothèque
51100.00,52100.01,bibliothécaire au niveau primaire
51100.00,52100.01,bibliothécaire au niveau secondaire
51101.01,53123.03,concepteur/conceptrice de musée
51101.01,53100.04,
51101.02,53123.03,concepteur/conceptrice de musée
51101.02,53100.04,
51102.00,52100.02,assistant/assistante dans les services d'archives
51110.00,51114.01,traducteur-réviseur/traductrice-réviseure
51110.00,52113.00,monteur/monteuse de son
51110.00,51120.05,
51111.01,51121.02,auteur-compositeur/auteure-compositrice
51111.02,51121.02,auteur-compositeur/auteure-compositrice
51111.03,51121.02,auteur-compositeur/auteure-compositrice
51114.01,41409.05,
51114.02,41409.05,
51114.03,41409.05,
51114.04,41409.05,
52110.00,52112.00,opérateur/opératrice à la transmission vidéo
52110.00,53111.07,assistant/assistante en audiovisuel
52110.00,53122.01,artiste vidéo
52110.00,51120.07,
52113.00,53111.07,assistant/assistante à l'enregistrement - studio d'enregistrement
52119.01,53123.01,concepteur/conceptrice d'éclairage
52119.02,53123.01,concepteur/conceptrice d'éclairage
52119.03,53123.01,concepteur/conceptrice d'éclairage
52119.07,53123.01,concepteur/conceptrice d'éclairage
52120.01,10022.01,
52120.02,10022.01,
53100.01,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.02,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.03,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.04,53123.03,concepteur/conceptrice d'expositions muséologiques
53100.05,53123.03,concepteur/conceptrice d'expositions muséologiques
53120.01,51120.03,
53120.02,51120.03,
53200.00,54100.01,instructeur/instructrice en sport
53201.01,31204.01,thérapeute du sport
54100.01,41406.03,
54100.02,41406.03,
60010.00,62100.00,surveillant technico-commercial/surveillante technico-commerciale
60030.00,62200.01,premier chef/première chef
62010.00,62100.00,surveillant technico-commercial/surveillante technico-commerciale
