OaSIS profile code,Excluded code,Job title
00010.00,00011.00,commissioner - government services
00010.00,00013.00,"chief executive officer (CEO) - health, education, social and community services and membership organizations"
10010.00,10029.00,accounting firm manager
10010.00,10029.00,audit firm manager
10012.00,70012.01,warehousing manager
10021.02,10020.03,
10030.00,50011.00,broadcasting manager
11101.01,11102.00,financial planner
11101.01,41401.00,economist
11101.01,41402.00,economic development officer
11101.02,11102.00,financial planner
11101.02,41401.00,economist
11101.02,41402.00,economic development officer
11109.01,41401.00,economist
11109.01,41402.00,economic development officer
11109.02,41401.00,economist
11109.02,41402.00,economic development officer
11109.03,41401.00,economist
11109.03,41402.00,economic development officer
11109.04,41401.00,economist
11109.04,41402.00,economic development officer
11109.05,41401.00,economist
11109.05,41402.00,economic development officer
11200.00,41210.00,training officer - company
11202.00,10022.03,
12010.00,13100.00,office manager
12100.00,13110.00,executive secretary (except legal and medical)
13112.00,12110.02,
14103.00,13111.00,administrative assistant - judicial
14103.00,13111.00,judicial assistant
14103.00,42200.01,law clerk
14110.01,65109.03,
14112.01,12010.00,desktop publishing operators supervisor
14112.01,52111.00,paste-up artist
14112.01,52111.00,graphic arts copy stylist
14112.01,14301.03,
14202.00,12011.00,collection supervisor
14202.00,12104.01,tax collection officer
14300.00,52100.01,
14401.00,12013.00,parts clerks supervisor
14403.02,12013.00,inventory clerks supervisor
14404.00,12013.00,dispatchers supervisor
14405.00,12013.00,transportation route schedulers supervisor
14405.00,12013.00,crew schedulers supervisor
14405.00,13201.01,production controller
21100.01,21102.01,geophysicist
21100.01,21102.02,physical oceanographer
21101.00,21102.01,geochemist
21101.00,21109.01,metallurgist
21101.00,21109.02,materials scientist
21101.00,21110.02,molecular biologist
21103.00,52114.00,weather reporter
21111.00,41401.00,forest economist
21112.00,21399.01,agricultural engineer
21112.00,22110.02,agrology technician
21120.00,41400.02,occupational hygienist
21120.00,41400.01,
21200.00,21231.00,software architect
21200.00,21300.00,structural engineer
21200.00,21311.01,technical architect - hardware
21200.00,21399.04,naval architect
21200.00,21223.01,
21203.00,21300.00,geomatics engineer
21203.00,21300.00,survey engineer
21230.00,10022.04,
21231.00,21311.01,computer engineer
21232.00,10022.04,
21233.00,10022.04,
21234.00,21311.02,network systems engineer
21300.00,21320.00,environmental chemical engineer
21301.00,92100.02,
21320.00,21399.01,agricultural engineer
21320.00,21399.02,biomedical engineer
21321.00,11201.00,organizational analyst
21390.00,22313.03,aircraft maintenance engineer (AME) - avionics
21390.00,72404.01,aircraft maintenance engineer (AME) (except avionics)
21399.04,72603.00,marine engineer officer - water transport
22100.01,32120.00,medical laboratory biochemistry technologist
22100.02,32120.00,medical laboratory biochemistry technologist
22110.01,22310.01,biomedical engineering technologist
22211.00,22212.01,engineering design and drafting technologist
22211.00,22300.01,civil engineering design technologist
22211.00,22301.01,mechanical engineering equipment designer
22211.00,22310.01,electrical and electronics design technologist
22212.01,22300.01,civil engineering design technologist
22212.01,22301.01,mechanical engineering design technologist
22212.01,22310.01,electronics engineering design technologist
22212.01,22310.01,electrical engineering design technologist
22214.01,22300.02,urban planning technician
22214.01,22300.02,land use technician
22214.03,22300.02,land use technician
22214.04,22300.02,land use technician
22231.01,11201.00,regulatory affairs officer
22231.01,11201.00,regulatory compliance officer
22231.02,11201.00,regulatory compliance officer
22231.02,11201.00,regulatory affairs officer
22231.03,11201.00,regulatory affairs officer
22231.03,11201.00,regulatory compliance officer
22231.04,11201.00,regulatory affairs officer
22231.04,11201.00,regulatory compliance officer
22231.05,11201.00,regulatory affairs officer
22231.05,11201.00,regulatory compliance officer
22232.00,41400.02,occupational hygienist
22232.00,41400.01,
22312.00,22313.01,aircraft instrument technician
31101.01,31110.02,
31101.05,31110.02,
31111.00,31101.03,
31111.00,31303.04,
31111.00,32129.02,
31111.00,33109.04,
31111.00,33109.05,
31112.01,32109.01,hearing aid practitioner
31112.02,32109.02,speech-language pathology assistant
31121.00,32129.01,
31121.00,32209.06,
31121.00,41403.02,
31200.00,31100.04,
31200.00,41409.07,
31201.00,33109.03,chiropractic aide
31202.00,32109.04,physical rehabilitation therapist
31202.00,32109.05,physiotherapy assistant
31204.02,32109.04,
31209.01,31303.04,
31209.04,31303.04,
31209.04,32209.02,
31301.01,32101.01,registered practical nurse (R.P.N.)
31301.03,32101.01,registered practical nurse (R.P.N.)
31301.04,32101.01,registered practical nurse (R.P.N.)
31301.05,32101.01,registered practical nurse (R.P.N.)
31301.06,32101.01,registered practical nurse (R.P.N.)
32100.00,31101.03,
32100.00,32129.02,
