Code de profile professionnel SIPeC,Renseignements supplementaires
00011.00,Il existe une mobilité parmi les professions des cadres supérieurs.
00012.00,Il existe une mobilité parmi les professions des cadres supérieurs.
00012.00,"Les cadres supérieurs de ce groupe de base peuvent se spécialiser dans des domaines tels que les services financiers, le marketing, les ressources humaines ou dans un type de service particulier."
00013.00,Il existe une mobilité parmi les professions des cadres supérieurs.
00013.00,"Les cadres supérieurs de ce groupe de base peuvent se spécialiser dans les domaines tels que les finances, le marketing, les ressources humaines ou dans une sphère particulière des services."
00014.00,Il existe une mobilité parmi les professions des cadres supérieurs.
00014.00,"Les cadres supérieurs de ce groupe de base peuvent se spécialiser dans des domaines tels que les finances, le marketing, les ressources humaines ou dans la vente d'un produit particulier ou la prestation d'un service déterminé."
00015.00,Il existe une mobilité parmi les professions des cadres supérieurs.
00015.00,"Les cadres supérieurs de ce groupe de base peuvent se spécialiser dans les domaines tels que les finances, le marketing ou les ressources humaines, ou dans un type de service particulier."
10010.00,"L'expérience permet d'accéder à des postes de cadres supérieurs, tels que vice-président des finances."
10011.00,L'expérience permet d'accéder à des postes de cadres supérieurs.
10011.00,Les autres comités paritaires gérés par les directeurs des ressources humaines peuvent être concernés par des problèmes tels que l'alcoolisme ou la toxicomanie.
10019.00,"Les tâches des “greffiers d’un tribunal” peuvent inclure parfois celles des autres professions des services judiciaires, comme les “administrateurs de tribunaux” (dans la CNP 14.103) en fonction de l’emplacement et la taille du palais de justice."
10019.00,Les greffiers des tribunaux supérieurs peuvent aussi exercer diverses fonctions judiciaires.
10020.01,Il n'y a pas de mobilité entre les différents types de directeurs de ce groupe de base.
10020.01,L'expérience permet d'accéder à des postes de cadres supérieurs.
10020.02,Il n'y a pas de mobilité entre les différents types de directeurs de ce groupe de base.
10020.02,L'expérience permet d'accéder à des postes de cadres supérieurs.
10020.03,Il n'y a pas de mobilité entre les différents types de directeurs de ce groupe de base.
10020.03,L'expérience permet d'accéder à des postes de cadres supérieurs.
10020.04,Il n'y a pas de mobilité entre les différents types de directeurs de ce groupe de base.
10020.04,L'expérience permet d'accéder à des postes de cadres supérieurs.
10021.01,L'expérience permet d'accéder à des postes de cadres supérieurs dans ce domaine.
10021.02,L'expérience permet d'accéder à des postes de cadres supérieurs dans ce domaine.
10022.01,L'expérience permet d'accéder à des postes de cadres supérieurs.
10022.02,L'expérience permet d'accéder à des postes de cadres supérieurs.
10022.03,L'expérience permet d'accéder à des postes de cadres supérieurs.
10022.04,L'expérience permet d'accéder à des postes de cadres supérieurs.
10030.00,L'expérience permet d'accéder à des postes de cadres supérieurs de gestion en télécommunications.
11100.01,L'expérience permet d'accéder à des postes de gestion en vérification ou en comptabilité.
11100.02,"Il existe peu de mobilité entre les trois désignations professionnelles : comptables professionnels agréés, comptables agréés (CPA, CA), comptables professionnels agréés, comptables généraux licenciés (CPA, CGA) et comptables professionnels agréés, comptables en management accrédités (CPA, CMA)."
11100.02,L'expérience permet d'accéder à des postes de gestion en vérification ou en comptabilité.
11101.01,"L'expérience permet d'accéder à des postes de direction, tel que directeur des valeurs mobilières."
11101.02,"L'expérience permet d'accéder à des postes de direction, tel que directeur des valeurs mobilières."
11102.00,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11102.00,L'expérience permet d'accéder à des postes de direction des services financiers.
11103.01,L'expérience permet d'accéder à des postes de direction connexes.
11103.02,L'expérience permet d'accéder à des postes de direction connexes.
11109.01,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109.01,L'expérience permet d'accéder à des postes de direction des services financiers.
11109.02,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109.02,L'expérience permet d'accéder à des postes de direction des services financiers.
11109.03,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109.03,L'expérience permet d'accéder à des postes de direction des services financiers.
11109.04,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109.04,L'expérience permet d'accéder à des postes de direction des services financiers.
11109.05,"Bien que ces types de postes demandent un niveau élevé de formation et de qualification, les personnes qui occupent ces postes doivent constamment mettre à jour leurs connaissances et chercher à se perfectionner."
11109.05,L'expérience permet d'accéder à des postes de direction des services financiers.
11200.00,L'expérience permet d'accéder à des postes de gestion.
11201.00,L'expérience permet d'accéder à des postes supérieurs ou de direction.
11202.00,"L'expérience et une formation supplémentaire permettent d'accéder à des postes de gestion en relations publiques, en communications et en collecte de fonds."
11202.00,"Les agents littéraires se spécialisent dans la représentation d'auteurs et d'écrivains dans un genre particulier. Les gérants d'artistes s'occupent de chanteurs, de musiciens, d'acteurs et comédiens ou d'autres artistes de la scène. Les agents d'athlètes se spécialisent dans la représentation de certains athlètes ou de certaines équipes sportives."
12101.00,L'expérience permet d'accéder à des postes de spécialiste ou de gestionnaire.
12102.00,L'expérience permet d'accéder à des postes de gestion.
12102.00,"Les agents en approvisionnement et aux achats peuvent se spécialiser dans l'achat de matériel ou de services aux entreprises, tels que des meubles ou les droits d'accès."
12104.01,L'expérience permet d'accéder à des postes de gestion dans ces domaines.
12104.02,L'expérience permet d'accéder à des postes de gestion dans ces domaines.
12110.01,"Il existe une certaine mobilité entre les professions de ce groupe et les professions qui exigent des connaissances terminologiques comparables, comme celles en secrétariat juridique ou médical."
12110.02,"Il existe une certaine mobilité entre les professions de ce groupe et les professions qui exigent des connaissances terminologiques comparables, comme celles en secrétariat juridique ou médical."
12111.00,L'expérience permet d'accéder à des postes de supervision.
12111.00,Une formation additionnelle et l'expérience permettent d'accéder à des postes de direction.
12112.00,Une formation additionnelle et l'expérience permettent d'accéder à des postes de supervision.
12113.00,L'expérience permet d'accéder à des postes de supervision. Un diplôme d'études supérieures est habituellement exigé pour accéder à des postes de professionnels en statistiques et en recherche.
12200.00,Une formation supplémentaire permet d'accéder à des postes en comptabilité professionnelle.
12201.01,"Un programme de formation, offert par l'Institut d'assurance du Canada ou son équivalent provincial, permet aux experts en sinistres et aux rédacteurs en sinistres d'être reconnus comme Professionnel d'assurance agréé (PAA) ou comme Fellow, Professionnel d'assurance agréé (FPAA), après avoir suivi des cours universitaires supplémentaires."
12202.00,L'expérience permet d'accéder à des postes de direction dans l'industrie de l'assurance.
