OaSIS profile code,Main duties
00010.00,"Enact, amend or repeal laws and regulations"
00010.00,"Participate in developing or amending government policies, programs or procedures"
00010.00,"Represent their government at local, national and international meetings and conferences"
00010.00,Respond to matters of concern to constituents or the general public
00010.00,May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency.
00011.00,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees"
00011.00,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision
00011.00,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members"
00011.00,Co-ordinate department activities with other senior government managers and officials
00011.00,"Make presentations to legislative and other government committees regarding policies, programs or budgets"
00011.00,Allocate human and financial resources to implement organizational policies and programs
00011.00,Establish financial and administrative controls.
00012.00,"Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources"
00012.00,Authorize and organize the establishment of major departments and associated senior staff positions
00012.00,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning"
00012.00,"Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions"
00012.00,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions."
00013.00,Establish objectives for the organization or institution and formulate or approve policies and programs
00013.00,Authorize and organize the establishment of major departments and associated senior staff positions
00013.00,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning"
00013.00,"Select middle managers, directors or other executive staff"
00013.00,"Coordinate the work of regions, divisions or departments"
00013.00,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions."
00014.00,Establish objectives for the company and formulate or approve policies and programs
00014.00,Authorize and organize the establishment of major departments and associated senior staff positions
00014.00,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning"
00014.00,"Select middle managers, directors or other executive staff"
00014.00,"Coordinate the work of regions, divisions or departments"
00014.00,"Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions."
00015.00,Establish objectives for the company and formulate or approve policies and programs
00015.00,Authorize and organize the establishment of major departments and associated senior staff positions
00015.00,"Allocate material, human and financial resources to implement company policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning"
00015.00,"Select middle managers, directors or other executive staff"
00015.00,"Coordinate the work of regions, divisions or departments"
00015.00,"Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions."
10010,"Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department"
10010,"Develop and implement the financial policies, systems and procedures of an establishment"
10010,"Prepare or coordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports"
10010,"Coordinate the financial planning and budget process, and analyze and correct estimates"
10010,Supervise the development and implementation of financial simulation models
10010,"Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers"
10010,"Recruit, organize, train and manage staff"
10010,"Act as liaison between the organization and its shareholders, the investing public and external financial analysts"
10010,Establish profitability standards for investment activities and handle mergers and/or acquisitions
10010,Notify and report to senior management concerning any trends that are critical to the organization's financial performance.
10011,"Plan, organize, direct, control and evaluate the operations of human resources or personnel departments"
10011,Plan human resource requirements in conjunction with other departmental managers
10011,Coordinate internal and external training and recruitment activities
10011,Develop and implement labour relations policies and procedures and negotiate collective agreements
10011,"Administer employee development, language training and health and safety programs"
10011,Advise and assist other departmental managers on interpretation and administration of personnel policies and programs
10011,Oversee the classification and rating of occupations
10011,"Organize and conduct employee information meetings on employment policy, benefits and compensation and participate actively on various joint committees"
10011,Direct the organization's quality management program
10011,Ensure compliance with legislation such as the Pay Equity Act.
10012,"Plan, organize, direct, control and evaluate the purchasing activities of an establishment"
10012,Develop purchasing policies and procedures and control purchasing department budget
10012,"Identify vendors of materials, equipment or supplies"
10012,Evaluate cost and quality of goods or services
10012,Negotiate or oversee the negotiation of purchase contracts
10012,"Participate in the development of specifications for equipment, products or substitute materials"
10012,Review and process claims against suppliers
10012,"Interview, hire and oversee training of staff."
10019,"Plan, organize, direct, control and evaluate the operations of a department providing a single administrative service or several administrative services"
10019,"Direct and advise staff engaged in providing records management, security, finance, purchasing, human resources or other administrative services"
10019,Direct and control corporate governance and regulatory compliance procedures within the establishment
10019,"Plan, administer and control budgets for contracts, equipment and supplies"
10019,Prepare reports and briefs for management committees evaluating administrative services
10019,"Interview, hire and oversee training for staff."
10020.01,"Plan, organize, direct, control and evaluate the operations of an establishment or department that provides automobile, fire, life, property or other types of insurance services."
10020.02,"Plan, organize, direct, control and evaluate the operations of an establishment or department that buys, sells and leases residential and commercial properties for clients."
10020.03,"Plan, organize, direct, control and evaluate the operations of an establishment or department that finds lenders or lending institutions on behalf of clients seeking a mortgage."
10020.04,"Plan, organize, direct, control and evaluate the operation of an establishment or department that buys and sells stocks, bonds and other forms of investments on behalf of individual or institutional clients and manage the investments of their own clients."
10021.01,"Network to develop business relations, promote the sale of loan, investment and other banking services and attract corporate and individual customers"
10021.01,"Analyze, review and approve or reject loan and credit applications in accordance with authorized limits"
10021.01,Monitor processing of loan applications and credit investigations
10021.01,Oversee preparation of monthly financial and branch progress reports
10021.01,"Plan, organize, direct, control and evaluate the branch operations of a bank, trust company, credit union or similar financial institution or of a department in such an institution responsible for administering personal and commercial loans, buying and selling securities, operating investment funds, administering trusts, settling estates or other related activities"
10021.01,Ensure the institution's policies and procedures are followed according to established guidelines and make recommendations for improvement
10021.01,Interview corporate and individual customers and respond to customer enquiries
10021.01,Recruit personnel and identify their training needs.
10021.02,"Administer corporate, commercial and personal loan accounts"
10021.02,Advise customers on the commercial and personal financial services corresponding to their needs
10021.02,Ensure credit policies and procedures are followed according to established guidelines and applicable legislation
10021.02,"Plan, organize, direct, control and evaluate the activities of a credit department in an industrial or commercial organization"
10021.02,Evaluate and review loan and credit applications and collateral and make recommendations
10021.02,"Approve or reject credit applications, establish credit limits and determine repayment plans or schedules in accordance with authorized limits"
10021.02,Ensure collection of overdue or delinquent accounts
10021.02,Prepare credit and loan reports
10021.02,Recruit credit personnel and identify their training needs.
10022.01,"Plan, direct and evaluate the activities of firms and departments that develop and implement advertising campaigns to promote the sales of products and services."
10022.02,"Establish distribution networks for products and services, initiate market research studies and analyze their findings, assist in product development, and direct and evaluate the marketing strategies of establishments."
10022.03,"Direct and evaluate establishments and departments that develop and implement communication strategies and information programs, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations."
10022.04,"Plan, organize, direct, control and evaluate the design, development and maintenance of Internet, Intranet and mobile applications to manage an organization's online business model and strategy"
10022.04,"Collaborate with advertising, marketing, and public relations teams to plan, develop, evaluate and manage an organization’s online presence including public relations, communications, marketing, commercial activities and social media management."
10029,"Plan, organize, direct, control and evaluate the operations of establishments that provide services to business such as management consulting, market research, personnel and payroll services, contact centre services and security services"
10029,"Plan, develop and organize the policies and procedures of these establishments"
10029,"Develop action plans, provide expertise in response to client needs, and support and advise project teams"
10029,Direct and advise staff in the development and implementation of service quality assessment strategies
10029,"Plan, administer and control budgets for client projects, contracts, equipment and supplies"
10029,Represent the company within various economic and social organizations
10029,Assist staff with administrative or technical problems
10029,"Hire, train and supervise staff."
10030,"Plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility"
10030,"Consult with senior managers to establish policies concerned with the development, operation and maintenance of telecommunications services"
10030,"Direct and control telecommunications traffic volume and flow within assigned areas, through subordinate supervisors and technical staff"
10030,"Analyze and evaluate telecommunications installation, operation and maintenance services and make recommendations for improvement"
10030,Ensure compliance with telecommunications regulations and directives of government regulatory agencies
10030,Liaise with representatives of related or connecting companies to resolve joint telecommunications problems and ensure efficient telecommunications system operations
10030,Recruit personnel and oversee their training.
11100.01,"Examine and analyze journal and ledger entries, bank statements, inventories, expenditures, tax returns and other accounting and financial records, documents and systems of individuals, departments within organizations, businesses or other establishments to ensure financial recording accuracy and compliance with established accounting standards, procedures and internal controls"
11100.01,Prepare detailed reports on audit findings and make recommendations to improve individual or establishment's accounting and management practices
11100.01,"Conduct field audits of businesses to ensure compliance with provisions of the Income Tax Act, Canadian Business Corporations Act or other statutory requirements"
11100.01,May supervise other auditors or professionals in charge of accounting within client's establishment.
11100.02,"Plan, set up and administer accounting systems and prepare financial information for individuals, departments within organizations, businesses and other establishments"
11100.02,Examine accounting records and prepare financial statements and reports
11100.02,"Develop and maintain cost finding, reporting and internal control procedures"
11100.02,Examine financial accounts and records and prepare income tax returns from accounting records
11100.02,"Analyze financial statements and reports and provide financial, business and tax advice"
11100.02,May act as a trustee in bankruptcy proceedings
11100.02,"May supervise and train articling students, other accountants or administrative technicians."
11101.01,"Evaluate financial risks, prepare financial forecasts, financing scenarios and other documents concerning capital management, and write reports and recommendations"
11101.01,Plan short- and long-term cash flows and assess financial performance
11101.01,Analyze investment projects
11101.01,Advise on and participate in the financial aspects of contracts and calls for tender
11101.01,Follow up on financing projects with financial backers
11101.01,"Develop, implement and use tools for managing and analyzing financial portfolio"
11101.01,Prepare a regular risk profile for debt portfolios
11101.01,Assist in preparing operating and investment budgets
11101.01,Develop and update financial or treasury policies.
