Code SIPeC,Etiquette SIPeC,Code Holland - 1,Code Holland - 2,Code Holland - 3
00010.00,Membres des corps législatifs,E,S,C
00011.00,Cadres supérieurs/cadres supérieures - administration publique,E,C,I
00012.00,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",E,C,i
00013.00,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",E,C,S
00014.00,"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",E,C,I
00015.00,"Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",E,C,i
10010.00,Directeurs financiers/directrices financières,E,C,I
10011.00,Directeurs/directrices des ressources humaines,E,S,C
10012.00,Directeurs/directrices des achats,E,C,I
10019.00,Directeurs/directrices d'autres services administratifs,E,C,s
10020.01,Directeurs/directrices des assurances,E,C,I
10020.02,Directeurs/Directrices de services immobiliers,E,C,i
10020.03,Directeurs/directrices des courtiers en hypothèque,E,C,I
10020.04,Directeurs/directrices des ventes de valeurs mobilières,E,C,I
10021.01,Directeurs/directrices de banques et autres services de placements,E,C,S
10021.02,Directeurs/directrices du crédit,E,C,S
10022.01,Directeurs/directrices de la publicité,E,A,C
10022.02,Directeurs/directrices du marketing,E,C,a
10022.03,Directeurs/directrices des relations publiques,E,S,A
10022.04,Directeurs/directrices des affaires électroniques,E,S,A
10029.00,Directeurs/directrices d'autres services aux entreprises,E,C,S
10030.00,Directeurs/directrices d'entreprises de télécommunications,E,C,S
11100.01,Vérificateurs/vérificatrices,C,E,I
11100.02,Comptables,C,E,I
11101.01,Analystes financiers/analystes financières,I,E,C
11101.02,Analystes en placements,I,E,C
11102.00,Conseillers financiers/conseillères financières,E,C,S
11103.01,Agents/agentes en valeurs et agents/agentes en placements,E,C,S
11103.02,Négociateurs/négociatrices en valeurs,E,I,C
11109.01,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières,E,C,I
11109.02,Investigateurs financiers/investigatrices financières,E,I,C
11109.03,Preneurs/preneuses ferme,E,I,C
11109.04,Agents/agentes de fiducie,C,E,I
11109.05,Courtiers/courtières en hypothèques,E,C,S
11200.00,Professionnels/professionnelles en ressources humaines,E,S,C
11201.00,Professionnels/professionnelles des services-conseils en gestion aux entreprises,I,E,C
11202.00,"Professionnels/professionnelles en publicité, en marketing et en relations publiques",E,C,A
12010.00,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,E,C,s
12011.00,Superviseurs/superviseures de commis de finance et d'assurance,E,C,s
12012.00,"Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",E,C,s
12013.00,"Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",E,C,s
12100.00,Adjoints/adjointes de direction,C,E,I
12101.00,Agents/agentes des ressources humaines et de recrutement,E,C,s
12102.00,Agents/agentes en approvisionnement aux achats,C,E,I
12103.00,Planificateurs/planificatrices de congrès et d'événements,E,C,s
12104.01,Agents/agentes de taxes d'accise,C,I,e
12104.02,Agents/agentes de services de prestations gouvernementales,S,C,E
12110.01,Sténographes judiciaires,C,E,
12110.02,Transcripteurs médicaux/transcriptrices médicales,C,r,
12111.00,Personnel en gestion de l’information sur la santé,C,i,
12112.00,Techniciens/techniciennes à la gestion des documents,C,,
12113.00,Agents/agentes de statistiques et professions connexes du soutien de la recherche,C,I,
12200.00,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,C,i,
12201.01,Experts/expertes en sinistres,E,C,I
12201.02,Rédacteurs/rédactrices sinistres,C,E,I
12202.00,Assureurs/assureures,C,E,I
12203.01,Estimateurs/estimatrices,E,C,R
12203.02,Experts/expertes en évaluation d'entreprise,I,C,
12203.03,Évaluateurs/évaluatrices,E,C,R
13100.00,Agents/agentes d'administration,E,C,
13101.00,Agents/agentes de gestion immobilière,E,C,
13102.00,Administrateurs/administratrices de la paye,C,E,
13110.00,Adjoints administratifs/adjointes administratives,C,e,
13111.00,Adjoints administratifs juridiques/adjointes administratives juridiques,C,e,i
13112.00,Adjoints administratifs médicaux/adjointes administratives médicales,C,S,E
13200.01,Courtiers/courtières en douanes,E,C,
13200.02,Courtiers maritimes/courtières maritimes,E,C,
13201.01,Coordonnateurs/coordonnatrices de la logistique de la production,E,C,
13201.02,Coordonnateurs/coordonnatrices de la logistique du transport,E,C,
14100.01,Employés de bureau – soutien général,C,E,r
14100.02,Commis au classement,C,r,E
14101.01,Réceptionnistes,C,S,E
14101.02,Employés à l'admission dans un hôpital,C,S,E
14101.03,Standardistes et téléphonistes au service des abonnés absents,C,E,s
14101.04,Téléphonistes,C,S,R
14102.00,Commis des services du personnel,C,e,s
14103.00,Commis des services judiciaires et autres professions des services judiciaires,C,E,S
14110.01,Intervieweurs/intervieweuses pour enquêtes,C,E,s
14110.02,Commis aux statistiques,C,I,
14111.00,Commis à la saisie de données,C,R,
14112.01,Opérateurs/opératrices d'équipement d'éditique,A,I,C
14112.02,Préposés à la saisie et la sortie des données (composition),R,C,a
14200.00,Commis à la comptabilité et personnel assimilé,C,E,i
14201.01,Commis de banque,C,E,
14201.02,Commis d'assurance,C,e,s
14201.03,Autres commis de services financiers,C,e,
14202.00,Commis de recouvrement,C,E,i
14300.00,Commis et assistants/assistantes dans les bibliothèques,C,R,S
14301.01,Commis aux petites annonces,C,E,S
14301.02,Correspondanciers/correspondancières,C,e,
14301.03,Correcteurs/correctrices d'épreuves et les adjoints/adjointes à la rédaction,C,A,
14301.04,Lecteurs/lectrices de manuscrits et préposés/préposées aux coupures de journaux,C,i,
14301.05,Commis aux règlements,C,e,s
14400.00,Expéditeurs/expéditrices et réceptionnaires,C,R,E
14401.00,Magasiniers/magasinières et commis aux pièces,C,R,E
14402.00,Travailleurs/travailleuses de la logistique de la production,C,E,
14403.01,Commis aux achats,C,E,
14403.02,Commis au contrôle de l'inventaire,C,R,E
14404.01,Répartiteurs/répartitrices,C,S,E
14405.00,Horairistes de trajets et d'équipages,C,E,R
20010.00,Directeurs/directrices des services de génie,E,R,I
20011.01,Directeurs/directrices des services d’architecture et d’urbanisme,E,R,I
20011.02,Directeurs/directrices de service des sciences,E,I,
20012.00,Gestionnaires des systèmes informatiques,E,C,i
21100.01,Physiciens/physiciennes,I,R,
21100.02,Astronomes,I,R,a
21101.00,Chimistes,I,R,c
21102.01,Géoscientifiques,I,R,
21102.02,Océanographes,I,R,
21103.00,Météorologues et climatologues,I,R,
21109.01,Métallurgistes,I,R,
21109.02,Spécialistes des matériaux,I,R,
21109.03,Scientifiques en science du sol,I,R,
21109.04,Astronautes,I,R,e
21110.01,Biologistes,I,R,
21110.02,Microbiologistes et biologistes cellulaires et moléculaires,I,R,
21111.00,Professionnels/professionnelles des sciences forestières,E,I,R
21112.00,"Agronomes, conseillers/conseillères et spécialistes en agriculture",S,R,I
21120.00,Professionnels/professionnelles de la santé et sécurité publique et environnementale,I,C,E
21200.00,Architectes,A,I,E
21201.00,Architectes paysagistes,A,I,R
21202.00,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,I,E,A
21203.00,Arpenteurs-géomètres/arpenteuses-géomètres,R,C,I
21210.01,Mathématiciens/mathématiciennes,I,C,a
21210.02,Statisticiens/statisticiennes,I,C,e
21210.03,Actuaires,I,C,E
21211.00,Scientifiques de données,I,C,e
21220.00,Spécialistes de la cybersécurité,C,I,R
21221.00,Spécialistes des systèmes commerciaux,I,C,E
21222.00,Spécialistes en informatique,I,C,E
21223.01,Analystes de bases de données,I,C,e
21223.02,Administrateurs/administratrices de données,C,I,E
21230.00,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques,I,C,E
21231.00,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,I,R,C
21232.00,Développeurs/développeuses et programmeurs/programmeuses de logiciels,I,C,r
21233.00,Concepteurs/conceptrices Web,I,A,c
21234.00,Développeurs/développeuses et programmeurs/programmeuses Web,I,C,r
21300.00,Ingénieurs civils/ingénieures civiles,R,I,C
21301.00,Ingénieurs mécaniciens/ingénieures mécaniciennes,I,R,C
21310.00,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,I,R,E
21311.01,Ingénieurs informaticiens/ingénieures informaticiennes et ingénieurs/ingénieures en matériel de télécommunications,I,R,C
21311.02,Ingénieurs/ingénieures en systèmes de réseaux et ingénieurs/ingénieures de la communication de données,I,C,e
21320.00,Ingénieurs chimistes/ingénieures chimistes,I,R,E
21321.00,Ingénieurs/ingénieures d'industrie et de fabrication,I,R,E
21322.00,Ingénieurs/ingénieures métallurgistes et des matériaux,I,R,E
21330.00,Ingénieurs miniers/ingénieures minières,I,R,E
21331.00,Ingénieurs/ingénieures géologiques,I,R,E
21332.00,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole,I,R,E
21390.00,Ingénieurs/ingénieures en aérospatiale,I,R,E
21399.01,Ingénieurs agricoles/ingénieures agricoles et en bio-ressources,I,R,E
21399.02,Ingénieurs biomédicaux/ingénieures biomédicales,I,R,E
21399.03,Ingénieurs physiciens/ingénieures physiciennes et scientifiques en génie,I,R,E
21399.04,Ingénieurs navals/ingénieures navales,I,R,E
21399.05,Ingénieurs/ingénieures en textiles,R,I,E
22100.01,Technologues en chimie,I,R,C
22100.02,Techniciens/techniciennes en chimie,R,I,C
22101.01,Technologues en géologie et en minéralogie,I,R,C
22101.02,Techniciens/techniciennes en géologie et en minéralogie,R,I,C
22110.01,Technologues en biologie,I,R,C
22110.02,Techniciens/techniciennes en biologie,R,I,C
22111.01,Inspecteurs/inspectrices du poisson et des produits de la pêche,R,C,I
22111.02,Inspecteurs/inspectrices de fruits et de légumes,R,C,I
22111.03,Inspecteurs/inspectrices de produits céréaliers,R,C,I
22111.04,Inspecteurs/inspectrices de viandes,R,C,I
22111.05,Inspecteurs/inspectrices en protection des végétaux,R,C,I
22112.00,Technologues et techniciens/techniciennes en sciences forestières,R,I,E
22113.00,Techniciens/techniciennes du milieu naturel et de la pêche,R,I,E
22114.01,Spécialistes des arbres et des arbustes et techniciens/techniciennes en service d'entretien d'arbres,R,I,e
22114.02,Responsables de l'entretien d'un terrain de golf,E,R,c
22114.03,Horticulteurs/horticultrices,E,R,C
22114.04,"Concepteurs-paysagistes/conceptrices-paysagistes, techniciens/techniciennes et technologues en architecture paysagère",R,C,A
22114.05,Jardiniers-paysagistes/jardinières-paysagistes,R,C,
22114.06,Paysagistes,R,C,E
22114.07,Spécialistes de pelouses,R,C,E
22210.00,Technologues et techniciens/techniciennes en architecture,R,C,A
22211.00,Designers industriels/designers industrielles,A,E,R
22212.01,Technologues en dessin,R,C,A
