Code SIPeC - Final,Etiquette SIPeC - Final,Estimation des caracteristiques quantifiables,Obtention d'information,"Identification d'objets, d'actions et d'evenements","Inspection d'equipements, de structures ou de materiaux","Surveillance de processus, de materiels ou d'environnements",Controler des machines et des processus,Developper des instructions techniques,Taches administratives,Entretien electronique,Manipuler et deplacer des objets,Utiliser des ordinateurs,Gerer des ressources,Entretien mecanique,"Manoeuvrer des vehicules, appareils ou equipements mecaniques",Performer des activites physiques,Traiter de l'information,Analyser des donnees ou de l'information,Elaborer des objectifs et des strategies,Evaluer l'information pour verifier la conformite,Juger de la qualite,Prendre des decisions,Planifier et organiser,Etablissement du calendrier du travail et des activites,Pensee creative,Appliquer de nouvelles connaissances,Offrir du soutien et soins a d'autres personnes,Encadrer et former des personnes,Communiquer avec des gens de l'exterieur de l'organisation,Communiquer avec les collegues de travail,Coordonner le travail et les activites d'autres personnes,Etablir et maintenir des relations interpersonnelles,Interpreter l'information pour d'autres personnes,Executer  taches pour  public ou travailler directement,Fournir des conseils et avis,Resoudre des conflits et negocier avec d'autres personnes,Vendre ou influencer d'autres personnes,Mener des activites de dotation,Superviser des subalternes,Developper une equipe,Former et enseigner
00010.00,Membres des corps législatifs,4,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,5,5,3
00011.00,Cadres supérieurs/cadres supérieures - administration publique,5,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00012.00,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",5,5,4,1,4,0,0,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00013.00,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",5,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,4,4,4,2,5,5,5,5,5,4,3,5,5,5,5,5,5,4
00014.00,"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",5,5,4,1,4,0,0,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00015.00,"Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",5,5,4,1,4,0,1,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
10010,Directeurs financiers/directrices financières,4,4,5,1,4,0,0,4,0,0,4,4,0,0,0,4,5,4,4,4,4,4,4,3,4,2,5,4,4,4,4,3,2,4,4,4,5,5,5,3
10011,Directeurs/directrices des ressources humaines,3,4,3,0,2,0,0,3,0,1,3,4,0,0,0,3,4,5,4,4,4,4,4,3,3,3,4,3,5,4,4,4,2,5,5,4,5,5,4,4
10012,Directeurs/directrices des achats,3,3,3,2,2,0,0,3,0,0,3,4,0,0,0,3,4,4,3,3,4,4,4,2,3,2,4,4,4,4,4,3,2,4,5,4,5,4,4,4
10019,Directeurs/directrices d'autres services administratifs,3,3,3,2,4,0,0,3,0,1,3,4,0,0,1,3,3,4,3,3,3,4,5,3,3,3,4,3,4,5,4,3,2,3,4,4,5,5,4,3
10020.01,Directeurs/directrices des assurances,4,3,3,0,4,0,0,3,0,1,3,4,0,0,1,3,3,4,4,3,3,4,3,3,3,2,4,3,4,4,3,3,3,3,4,5,4,5,5,4
10020.02,Directeurs/Directrices de services immobiliers,3,3,3,3,3,0,0,3,1,1,3,4,0,2,1,3,3,4,3,4,3,4,4,3,3,2,4,4,4,4,4,3,3,4,4,4,4,4,4,3
10020.03,Directeurs/directrices des courtiers en hypothèque,3,3,3,1,3,0,0,3,0,0,3,4,0,0,0,3,3,4,3,3,3,4,3,3,3,2,4,3,4,4,3,3,3,4,4,4,4,5,4,4
10020.04,Directeurs/directrices des ventes de valeurs mobilières,5,5,4,0,3,0,0,4,0,0,4,2,0,0,0,3,4,4,3,5,4,3,3,4,3,2,4,4,4,4,3,4,2,4,3,5,3,3,3,3
10021.01,Directeurs/directrices de banques et autres services de placements,4,4,5,1,4,0,0,3,0,0,4,4,0,0,0,3,4,3,4,4,4,4,3,3,3,2,4,3,4,4,4,3,3,4,4,5,4,5,4,4
10021.02,Directeurs/directrices du crédit,3,3,3,1,3,0,0,3,0,0,4,4,0,0,1,3,4,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,4,5,3,3,3,3
10022.01,Directeurs/directrices de la publicité,3,3,3,0,2,0,0,3,0,1,3,4,0,0,1,3,3,4,2,3,3,5,3,3,3,2,3,5,4,4,4,3,3,3,4,5,3,3,4,3
10022.02,Directeurs/directrices du marketing,3,4,3,0,2,0,0,3,0,0,3,4,0,0,1,3,3,4,2,3,3,5,3,3,3,2,3,5,4,5,5,3,3,4,5,5,3,4,4,3
10022.03,Directeurs/directrices des relations publiques,3,4,3,1,3,0,0,3,0,1,3,4,0,0,1,3,3,5,2,3,4,5,5,4,4,2,3,5,4,4,5,3,3,4,4,5,3,3,4,3
10022.04,Directeurs/directrices des affaires électroniques,4,4,3,1,4,0,0,3,0,1,4,4,0,0,0,3,3,4,2,3,4,5,5,3,4,2,3,5,4,4,5,3,3,4,4,5,3,3,4,3
10029,Directeurs/directrices d'autres services aux entreprises,3,3,3,1,4,0,0,3,0,1,3,4,0,0,1,3,3,4,3,4,4,4,4,3,3,2,4,3,4,4,4,3,3,4,4,4,5,5,3,3
10030,Directeurs/directrices d'entreprises de télécommunications,3,3,3,3,4,0,0,3,1,2,3,4,1,0,2,3,3,4,3,4,3,4,4,3,3,2,4,3,4,4,3,3,3,4,4,3,5,5,3,3
11100.01,Vérificateurs/vérificatrices,3,4,3,2,3,0,0,4,0,1,4,4,0,0,0,4,5,4,5,3,4,4,4,3,4,3,4,4,4,4,4,4,2,4,4,3,4,4,3,3
