OaSIS profile code,Lead statement
00010.00,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members."
00011.00,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies."
00012.00,"Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives."
00013.00,"Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors."
00014.00,"Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors."
00015.00,"Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors."
10010.00,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management."
10011.00,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees."
10012.00,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution."
10019.00,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services."
10020.01,"Insurance managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives."
10020.02,"Real estate managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide real estate services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives."
10020.03,"Financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide mortgage services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives."
10020.04,"Securities managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives."
10021.01,"Banking and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments. They develop business relations, promote the sale of loan, investment and other banking services and attract corporate and individual customers."
10021.02,"Credit managers plan, organize, direct, control and evaluate the activities of credit departments in industrial and commercial establishments. They evaluate and review loan and credit applications and collateral and make recommendations."
10022.01,"Advertising managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business advertising."
10022.02,"Marketing managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business marketing."
10022.03,"Public relations managers organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business public relations."
10022.04,"E-business managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial and industrial e-business."
