OaSIS Code - Final,OaSIS Label - Final,Automation,Competition,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Impact of Decisions,Pace Determined by Speed of Equipment,Precision,Structured versus Unstructured Work,Tasks Repetition,Time Pressure,Time Pressure2,Work Schedule,Work Week Duration,Biological Agents,Dangerous Chemical Substances,Extremely Bright or Inadequate Lighting,Extreme Temperatures,Hazardous Conditions,"Hazardous Equipment, Machinery, Tools",High Places,In an Enclosed Vehicle or Equipment,In an Enclosed Vehicle or Equipment3,In an Open Vehicle or Equipment,In an Open Vehicle or Equipment4,"Indoors, Environmentally Controlled","Indoors, Environmentally Controlled5","Indoors, Not Environmentally Controlled","Indoors, Not Environmentally Controlled6","Outside, Exposed to Weather","Outside, Exposed to Weather7","Outside, Under Cover","Outside, Under Cover8",Physical Proximity,Radiation,Sound and Noise,Sound and Noise 9,Specialized Safety Equipment,Standard Safety Equipment,Vibration,Skin Injury,Bending or Twisting the Body,Climbing,"Cramped Work Space, Awkward Positions",Handling Material Manually,Keeping or Regaining Balance,Making Repetitive Motions,Sitting,Standing,Walking and Running,Conflict Situations,Contact With Others,Contact With Others10,Coordinating or Leading Others,Deal With External Customers,Deal With Physically Aggressive People,Dealing With Unpleasant or Angry People,Electronic Mail,Face-to-Face Discussions,Written Communications,Public Speaking,Responsibility for Outcomes and Results of Other Workers,Responsible for Others' Health and Safety,Telephone,Work With Work Group or Team,Work With Work Group or Team11
00010.00,Legislators,1,5,3,5,5,5,1,4,5,3,4,4,2,3,0,0,1,1,0,0,0,2,1,0,0,5,5,0,0,0,0,1,1,3,0,2,1,0,0,0,0,1,0,0,1,0,2,4,2,2,4,5,4,5,4,1,3,5,4,5,3,4,3,5,5,5
00011.00,Senior government managers and officials,2,5,4,5,5,5,0,4,5,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,4,1,2,3,5,4,5,4,1,3,5,4,5,3,5,4,5,5,5
00012.00,"Senior managers - financial, communications and other business services",2,5,4,5,5,5,0,4,5,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,4,1,2,3,5,4,5,4,1,3,5,4,5,3,5,4,5,5,5
00013.00,"Senior managers - health, education, social and community services and membership organizations",2,5,4,5,5,5,0,4,5,2,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,1,0,2,4,1,2,3,5,4,5,4,1,3,5,4,5,3,5,4,5,5,5
00014.00,"Senior managers - trade, broadcasting and other services",2,5,4,5,5,5,0,4,5,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,1,0,2,4,1,3,3,5,4,5,4,1,3,5,4,5,3,5,4,5,5,5
00015.00,"Senior managers - construction, transportation, production and utilities",2,5,4,5,5,5,1,4,5,2,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,2,1,0,1,0,0,1,0,0,1,0,2,4,1,2,3,5,4,5,4,1,3,5,4,5,3,5,4,5,5,5
10010.00,Financial managers,2,4,4,4,4,4,0,5,4,3,5,4,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,5,1,1,2,4,4,4,4,0,2,5,5,3,3,5,3,5,4,4
10011.00,Human resources managers,2,3,2,4,4,4,0,3,4,3,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,5,1,1,3,5,5,4,3,1,3,5,5,4,2,5,3,5,4,4
10012.00,Purchasing managers,2,3,2,4,4,3,0,4,4,3,4,4,1,3,0,0,0,1,0,0,0,1,1,0,0,5,5,1,1,0,0,0,0,3,0,2,2,0,1,0,0,1,0,0,1,0,2,5,1,1,3,4,4,4,4,0,2,5,4,3,2,5,3,5,4,4
10019.00,Other administrative services managers,2,3,2,4,4,3,0,3,4,2,3,4,1,3,0,0,0,0,0,0,0,1,1,0,0,5,5,1,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,2,4,1,2,2,5,5,4,2,0,2,5,5,3,2,5,3,5,5,5
