OaSIS profile code,Additional information (EN)
00011.00,There is mobility among senior management occupations.
00012.00,There is mobility among senior management occupations.
00012.00,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area."
00013.00,There is mobility among senior management occupations.
00013.00,"Senior managers in this unit group may specialize in areas such as finance, marketing, human resources or in a particular service area."
00014.00,There is mobility among senior management occupations.
00014.00,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in the sale of a particular product or provision of a particular service."
00015.00,There is mobility among senior management occupations.
00015.00,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular product area."
10010.00,"Progression to senior management positions, such as vice-president of finance, is possible with experience."
10011.00,Progression to senior management positions is possible with experience.
10011.00,Other joint committees led by human resources managers may focus on issues such as alcohol or drug addiction.
10019.00,Duties of court registrars can include those of other court services occupations such as court administrator and “Court Clerks” (in NOC 14.103) depending on the location and size of the courthouse.
10019.00,Court registrars in the higher courts may also perform various judicial duties.
10020.01,There is no mobility between the different types of managers in this unit group.
10020.01,Progression to senior management positions is possible with experience.
10020.02,There is no mobility between the different types of managers in this unit group.
10020.02,Progression to senior management positions is possible with experience.
10020.03,There is no mobility between the different types of managers in this unit group.
10020.03,Progression to senior management positions is possible with experience.
10020.04,There is no mobility between the different types of managers in this unit group.
10020.04,Progression to senior management positions is possible with experience.
10021.01,Progression to senior management positions in this field is possible with experience.
10021.02,Progression to senior management positions in this field is possible with experience.
10022.01,Progression to senior management positions is possible with experience.
10022.02,Progression to senior management positions is possible with experience.
10022.03,Progression to senior management positions is possible with experience.
10022.04,Progression to senior management positions is possible with experience.
10030.00,Progression to senior management positions in telecommunications is possible with experience.
11100.01,Progression to auditing or accounting management positions is possible with experience.
11100.02,"There is limited mobility among the three professional accounting designations: chartered professional accountant, chartered accountant (CPA, CA); chartered professional accountant, certified general accountant (CPA, CGA), and chartered professional accountant, certified management accountant (CPA, CMA)."
11100.02,Progression to auditing or accounting management positions is possible with experience.
11101.01,"Progression to management positions, such as securities manager, is possible with experience."
11101.02,"Progression to management positions, such as securities manager, is possible with experience."
11102.00,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11102.00,Progression to financial management positions is possible with experience.
11103.01,Progression to related management positions is possible with experience.
11103.02,Progression to related management positions is possible with experience.
11109.01,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11109.01,Progression to financial management positions is possible with experience.
11109.02,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11109.02,Progression to financial management positions is possible with experience.
11109.03,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11109.03,Progression to financial management positions is possible with experience.
11109.04,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11109.04,Progression to financial management positions is possible with experience.
11109.05,"While these kinds of positions require a high degree of training and qualifications, persons who occupy them must continually update their skills and pursue professional development."
11109.05,Progression to financial management positions is possible with experience.
11200.00,Progression to management positions is possible with experience.
11201.00,Progression to senior and managerial positions is possible with experience.
11202.00,"Progression to managerial positions in public relations, communications and fundraising is possible with additional training and experience."
11202.00,"Literary agents specialize in representing specific types of authors and writers. Performance agents specialize in representing singers, musicians, actors or other performers. Sports agents specialize in representing specific athletes or sports teams."
12101.00,Progression to specialist and management positions is possible with experience.
12102.00,Progression to managerial positions is possible with experience.
12102.00,Procurement and purchasing agents and officers may specialize in the purchase of particular materials or business services such as furniture or access rights.
12104.01,Progression to managerial positions in these fields is possible with experience.
12104.02,Progression to managerial positions in these fields is possible with experience.
12110.01,"There is some mobility between occupations in this unit group and other occupations requiring similar knowledge of legal or medical terminology, such as legal or medical administrative positions."
12110.02,"There is some mobility between occupations in this unit group and other occupations requiring similar knowledge of legal or medical terminology, such as legal or medical administrative positions."
12111.00,Progression to supervisory positions is possible with experience.
12111.00,Progression to management positions is possible with additional training and experience.
12112.00,Progression to supervisory positions is possible with additional training and experience.
12113.00,Progression to supervisory positions is possible with experience. Progression to professional occupations in statistics and research usually requires completion of a postgraduate degree.
12200.00,Progression to professional accounting occupations is possible with additional training.
12201.01,"Completion of educational programs through the Insurance Institute of Canada or its provincial counterparts entitles insurance adjusters and claims examiners to professional recognition as a Chartered Insurance Professional (CIP), and with additional university courses, as a Fellow Chartered Insurance Professional (FCIP)."
12202.00,Progression to management positions in the insurance industry is possible with experience.
12202.00,"Completion of educational programs through the Insurance Institute of Canada or its provincial counterparts entitles insurance underwriters to professional recognition as a Chartered Insurance Professional (CIP) and, with additional university courses, as a Fellow, Chartered Insurance Professional (FCIP)."
12203.01,Progression to management positions in each field is possible with experience.
