Code de profil professionnel SIPeC,Exigences d'emploi
00010.00,"Les membres des corps législatifs sont élus sauf dans le cas des sénateurs, des lieutenants-gouverneurs et du gouverneur général, qui sont des représentants nommés."
00011.00,Un diplôme d'études universitaires ou collégiales est habituellement exigé.
00011.00,Un diplôme d'études supérieures dans un domaine connexe peut être exigé.
00011.00,Plusieurs années d'expérience en gestion dans le secteur public ou privé sont exigées.
00012.00,"Un diplôme d'études universitaires en administration des affaires, en commerce, en informatique ou dans un autre domaine relié au service offert est habituellement exigé."
00012.00,"Plusieurs années d'expérience en tant que directeur intermédiaire dans les secteurs des services financiers, des communications ou d'autres services aux entreprises sont habituellement exigées."
00012.00,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire spécifique."
00012.00,Un certificat professionnel en comptabilité ou en finance est habituellement exigé des cadres supérieurs des services financiers.
00013.00,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en administration hospitalière, en finances ou dans une discipline rattachée aux services est habituellement exigé."
00013.00,Plusieurs années d'expérience en tant que cadre intermédiaire dans un organisme ou un établissement connexe sont habituellement exigées.
00013.00,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00013.00,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
00014.00,"Un diplôme d'études universitaires ou collégiales en administration des affaires, en finance ou dans une discipline connexe rattachée au service est habituellement exigé."
00014.00,"Plusieurs années d'expérience en tant que cadre intermédiaire dans les secteurs du commerce, de la radiotélédiffusion et des autres services sont habituellement exigées."
00014.00,"Il est possible de se spécialiser dans un domaine ou un service particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00014.00,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
00015.00,"Un diplôme d'études universitaires ou collégiales en génie, en administration des affaires, en commerce ou dans une autre discipline se rattachant au produit de la compagnie est habituellement exigé."
00015.00,"Plusieurs années d'expérience en tant que cadre intermédiaire dans les secteurs de la production des biens, des services d'utilité publique, du transport ou de la construction sont habituellement exigées."
00015.00,"Il est possible de se spécialiser dans un domaine ou un produit particulier en acquérant soit de l'expérience, soit une formation universitaire ou collégiale spécifique."
00015.00,Les cadres supérieurs du secteur de la finance doivent habituellement détenir un titre professionnel en comptabilité.
10010.00,"Un baccalauréat en administration des affaires, en économie, en commerce ou dans un domaine connexe est exigé."
10010.00,Une maîtrise en administration des affaires (option finance) ou autre programme de maîtrise en gestion peut être exigée.
10010.00,"Plusieurs années d'expérience en comptabilité, en vérification, en budgétisation, en planification et en analyse financière ou dans toute autre activité à caractère financier sont exigées."
10010.00,"Un titre professionnel reconnu en comptabilité peut être exigé des directeurs de la comptabilité ou de la vérification (CPA, CA, CPA, CMA, ou CPA, CGA)."
10010.00,"Un titre professionnel reconnu en finance peut être exigé des directeurs financiers en investissement, en trésorerie et en financement des entreprises (CFA, CFP, CIM ou autres)."
