Code de profil professionnel SIPeC,Lieux de travail/employeurs,Nom du profil professionnel SIPeC
00010.00,Conseils de bande,Membres des corps législatifs
00010.00,Conseils de direction,Membres des corps législatifs
00010.00,Gouvernement fédéral,Membres des corps législatifs
00010.00,Administrations municipales,Membres des corps législatifs
00010.00,Gouvernements provinciaux,Membres des corps législatifs
00010.00,Conseils ou commissions scolaires,Membres des corps législatifs
00010.00,Gouvernements territoriaux,Membres des corps législatifs
00011.00,Agences,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Conseils de direction,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Commissions,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Services gouvernementaux fédéraux,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Administrations municipales,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Gouvernements provinciaux,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Administrations régionales,Cadres supérieurs/cadres supérieures - administration publique
00011.00,Gouvernements territoriaux,Cadres supérieurs/cadres supérieures - administration publique
00012.00,Sociétés de services aux entreprises,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises"
00012.00,"Établissements à travers les secteurs des télécommunications, des finances, des assurances, de l'immobilier, du traitement des données, de l'hébergement Web et les services connexes","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises"
00012.00,Travailleurs autonomes,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises"
00013.00,Associations mutuelles,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles"
00013.00,"Organisations de soins de santé, de services éducatifs, de services sociaux et communautaires","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles"
00013.00,Travailleurs autonomes,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles"
00014.00,Services d'hébergement et de restauration,"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services"
