Code SIPeC - Final,Etiquette SIPeC - Final,Comprehension de lecture,Redaction,Numeratie,Litteratie numerique,Communication verbale : ecoute active,Communication verbale : comprehension orale,Communication verbale : expression orale,Pensee critique,Prise de decisions,Evaluation,Strategies d'apprentissage et d'enseignement,Resolution de problemes,Analyse de systemes,Production numerique,Maintenance preventive,Selection des equipements et d'outils,Fonctionnement et controle,Surveillance fonctionnement des equipements et de la machinerie,Test de controle de la qualite,Reparer,Ajustage -- montage,Conception de produit,Depannage,Gestion des ressources financieres,Gestion des ressources materielles,Gestion des ressources humaines,Suivi de performance,Gestion du temps,Coordination,Instruire,Negociation,Persuasion,Perception sociale
10,Membres des corps législatifs,5,4,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,5,5,5
11,Cadres supérieurs/cadres supérieures - administration publique,5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
12,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
13,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
14,"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,1,1,0,0,1,0,5,5,5,5,5,5,4,5,5,4
15,"Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,1,0,1,1,0,0,1,0,5,5,5,5,5,5,4,5,5,4
10010,Directeurs financiers/directrices financières,4,4,5,4,4,4,4,4,4,5,4,4,5,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10011,Directeurs/directrices des ressources humaines,3,4,3,4,4,4,4,4,5,5,4,4,5,0,0,0,0,0,2,0,0,0,0,4,4,5,5,5,4,4,5,5,4
10012,Directeurs/directrices des achats,3,4,4,3,3,4,4,4,4,4,4,4,5,0,0,0,0,0,2,0,0,0,0,5,5,5,4,5,4,4,5,5,3
10019,Directeurs/directrices d'autres services administratifs,3,4,3,3,3,4,3,4,4,4,3,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,4,4,4
10020.01,Directeurs/directrices des assurances,3,4,4,4,4,4,3,4,4,5,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10020.02,Directeurs/Directrices de services immobiliers,3,4,3,3,3,4,3,4,4,4,3,4,4,0,0,0,0,0,2,0,0,0,0,5,4,4,4,4,4,4,5,4,3
10020.03,Directeurs/directrices des courtiers en hypothèque,3,4,4,4,3,4,3,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10020.04,Directeurs/directrices des ventes de valeurs mobilières,4,4,4,4,4,4,4,4,5,4,4,4,5,0,0,0,0,0,2,0,0,0,0,5,3,4,5,5,4,4,5,5,3
10021.01,Directeurs/directrices de banques et autres services de placements,4,4,4,4,4,4,3,4,4,4,5,4,5,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,5,4
10021.02,Directeurs/directrices du crédit,3,4,4,5,4,4,3,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,4,5,5,4,4,4,5,4
10022.01,Directeurs/directrices de la publicité,3,4,3,4,4,4,4,4,5,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,4,5,5,5,5,4,5,5,5
10022.02,Directeurs/directrices du marketing,3,4,3,4,4,4,4,4,5,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,4,5,5,5,4,4,5,5,5
10022.03,Directeurs/directrices des relations publiques,4,5,3,4,4,4,5,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,4,5,5
10022.04,Directeurs/directrices des affaires électroniques,4,4,3,4,4,4,4,4,4,4,4,4,5,0,0,0,0,0,1,0,0,0,0,4,4,5,5,4,4,4,4,4,4
10029,Directeurs/directrices d'autres services aux entreprises,3,4,3,3,4,3,4,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,5,4,4
10030,Directeurs/directrices d'entreprises de télécommunications,3,4,3,3,4,4,4,4,4,4,4,4,5,0,0,0,2,3,2,0,0,3,2,4,4,5,5,4,4,4,4,4,4
11100.01,Vérificateurs/vérificatrices,3,3,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,2,3,4,3,3,3,1,3,3
11100.02,Comptables,3,3,4,4,3,4,3,3,3,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,2,3,4,3,3,3,1,3,2
11101.01,Analystes financiers/analystes financières,4,3,5,5,3,4,3,4,3,4,3,3,4,0,0,0,0,0,2,0,0,0,0,4,1,2,3,3,3,3,3,3,2
11101.02,Analystes en placements,4,3,5,5,3,4,3,4,3,4,3,3,4,0,0,0,0,0,2,0,0,0,0,4,1,2,3,3,3,3,2,3,2
11102,Conseillers financiers/conseillères financières,4,3,4,5,3,4,4,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,5,1,2,4,3,3,3,3,4,3
11103.01,Agents/agentes en valeurs et agents/agentes en placements,4,4,4,4,3,4,4,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,1,2,3,3,3,3,4,4,3
11103.02,Négociateurs/négociatrices en valeurs,3,3,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,1,2,4,3,3,3,5,4,3
11109.01,Inspecteurs/inspectrices et vérificateurs financiers/vérificatrices financières,4,3,4,4,3,4,4,5,4,5,4,4,5,0,0,0,0,0,1,0,0,0,0,3,1,3,5,3,3,3,1,3,3
11109.02,Investigateurs financiers/investigatrices financières,4,4,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,3,2,3,3,3,4,3,1,3,3
11109.03,Preneurs/preneuses ferme,4,4,4,4,3,4,4,4,4,4,3,3,4,0,0,0,0,0,1,0,0,0,0,4,2,3,3,3,4,2,4,3,3
11109.04,Agents/agentes de fiducie,4,4,5,4,3,4,4,4,4,5,4,4,4,0,0,0,0,0,2,0,0,0,0,4,1,3,5,3,4,3,3,3,3
11109.05,Courtiers/courtières en hypothèques,3,3,4,4,3,4,3,3,4,3,2,3,3,0,0,0,0,0,1,0,0,0,0,2,1,2,2,3,2,2,3,3,2
11200,Professionnels/professionnelles en ressources humaines,4,3,3,3,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,4,4,4
11201,Professionnels/professionnelles des services-conseils en gestion aux entreprises,4,4,3,3,4,4,4,4,4,5,4,4,5,0,0,0,0,0,1,0,0,0,0,2,3,3,4,4,4,3,3,5,4
11202,"Professionnels/professionnelles en publicité, en marketing et en relations publiques",4,4,3,3,3,4,4,3,4,3,3,3,3,0,0,0,0,0,2,0,0,0,0,3,3,3,3,4,4,3,4,4,4
12010,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,1,3,4,4,4,4,4,4,3,3,3
12011,Superviseurs/superviseures de commis de finance et d'assurance,3,3,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,1,3,3,4,4,4,4,4,3,3,4
12012,"Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",4,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,1,3,4,4,4,4,4,4,3,3,3
12013,"Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",3,3,3,3,3,3,3,3,3,4,3,4,4,0,1,1,0,0,2,0,0,0,1,3,4,4,4,5,5,4,3,3,3
12100,Adjoints/adjointes de direction,3,3,2,3,3,3,3,2,2,3,3,2,3,1,0,0,0,0,2,0,0,0,0,2,4,2,3,3,3,3,3,3,3
12101,Agents/agentes des ressources humaines et de recrutement,3,3,2,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,0,2,2,3,3,3,3,3,3,3,3
12102,Agents/agentes en approvisionnement aux achats,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,0,4,4,2,3,3,3,3,5,4,2
12103,Planificateurs/planificatrices de congrès et d'événements,3,3,3,3,3,3,4,3,3,3,3,3,3,0,0,0,0,0,2,0,0,0,0,4,4,3,3,4,4,3,4,4,3
12104.01,Agents/agentes de taxes d'accise,3,3,3,3,2,3,3,3,3,2,2,2,3,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,2,2,2,3,2
12104.02,Agents/agentes de services de prestations gouvernementales,3,3,2,3,3,3,3,3,3,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,3,2,3,3
12110.01,Sténographes judiciaires,3,3,1,3,2,4,2,2,2,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,1,1
12110.02,Transcripteurs médicaux/transcriptrices médicales,3,3,1,3,2,3,2,2,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,2
12111,Personnel en gestion de l’information sur la santé,3,3,3,3,2,2,3,2,2,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,1,2
12112,Techniciens/techniciennes à la gestion des documents,3,2,2,3,2,2,2,2,2,3,2,2,3,0,0,0,0,0,2,0,0,0,0,0,2,2,3,3,2,2,2,2,2
12113,Agents/agentes de statistiques et professions connexes du soutien de la recherche,4,3,4,4,3,3,3,3,2,3,3,3,3,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,2,1,2,2
12200,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,3,3,5,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,3,2,2,3,3,2,3,0,3,2
12201.01,Experts/expertes en sinistres,3,3,3,3,3,3,3,3,3,3,2,3,2,0,0,0,0,0,1,0,0,0,0,3,0,2,2,2,3,2,4,3,2
